"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2716049","0.5185185","0.25","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"1","0.2716049","0.5185185","0.25","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"2","0.2716049","0.5185185","0.25","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"3","0.2716049","0.5185185","0.25","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"4","0.2716049","0.5185185","0.25","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"5","0.2716049","0.5185185","0.25","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","6.0","0","0.0","0","4.0","0","0.0","","0.0"
"6","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.06593407","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.01993355","0.0","0","5.0","0.02955665","2.0","0","2.0","0"
"7","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1071429","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03","0.0","0","5.0","0.04411765","2.0","0","2.0","0"
"8","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03508772","0.0","0","5.0","0.05128205","2.0","0","2.0","0"
"9","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.15","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.0375","0.0","0","5.0","0.05454545","2.0","0","2.0","0"
