"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2843823","0.5128205","0.21153846153846154","2.5384615384615383","3.0","0","1.0","0","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0","4.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"1","0.2843823","0.5128205","0.21153846153846154","2.5384615384615383","3.0","0","1.0","0","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0","4.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"2","0.2843823","0.5128205","0.21153846153846154","2.5384615384615383","3.0","0","1.0","0","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0","4.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"3","0.2843823","0.5128205","0.21153846153846154","2.5384615384615383","3.0","0","1.0","0","2.0","0","4.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","6.0","0","4.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"4","0.2755102","0.5244898","0.19230769230769232","2.5","3.0","0","1.0","0","2.0","0","2.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","7.0","0.02580645","4.0","0","5.0","0","1.0","0","11.0","0.01568627","2.0","0","2.0","0"
"5","0.2755102","0.5244898","0.19230769230769232","2.5","3.0","0","1.0","0","2.0","0","2.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","7.0","0.03508772","4.0","0","5.0","0","1.0","0","11.0","0.02150538","2.0","0","2.0","0"
"6","0.2755102","0.5244898","0.19230769230769232","2.5","3.0","0","1.0","0","2.0","0","2.0","0.1558442","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","7.0","0.03809524","4.0","0","5.0","0","1.0","0","11.0","0.02348337","2.0","0","2.0","0"
"7","0.2755102","0.5244898","0.19230769230769232","2.5","3.0","0","1.0","0","2.0","0","2.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","7.0","0.03846154","4.0","0","5.0","0","1.0","0","11.0","0.02380952","2.0","0","2.0","0"
"8","0.2755102","0.5244898","0.19230769230769232","2.5","3.0","0","1.0","0","2.0","0","2.0","0.1709402","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","7.0","0.03766478","4.0","0","5.0","0","1.0","0","11.0","0.02339181","2.0","0","2.0","0"
"9","0.2755102","0.5244898","0.19230769230769232","2.5","3.0","0","1.0","0","2.0","0","2.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","7.0","0.03636364","4.0","0","5.0","0","1.0","0","11.0","0.02264151","2.0","0","2.0","0"
