"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3566176","0.5428922","0.2125","3.1875","8.0","0","5.0","0","3.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"1","0.3566176","0.5428922","0.2125","3.1875","8.0","0","5.0","0","3.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"2","0.3566176","0.5428922","0.2125","3.1875","8.0","0","5.0","0","3.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"3","0.3566176","0.5428922","0.2125","3.1875","8.0","0","5.0","0","3.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"4","0.3566176","0.5428922","0.2125","3.1875","8.0","0","5.0","0","3.0","0","3.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"5","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.03623188","5.0","0","3.0","0","2.0","0.04901961","2.0","0","1.0","0.07575758","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"6","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.05494505","5.0","0","3.0","0","2.0","0.07518797","2.0","0","1.0","0.1190476","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"7","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.06465517","5.0","0","3.0","0","2.0","0.08928571","2.0","0","1.0","0.1442308","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"8","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.06944444","5.0","0","3.0","0","2.0","0.09661836","2.0","0","1.0","0.1587302","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"9","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.07142857","5.0","0","3.0","0","2.0","0.1","2.0","0","1.0","0.1666667","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
