"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3545966","0.5281426","0.12615384615384614","3.1538461538461537","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","14.0","0","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","15.0","0","13.0","0","8.0","0","0.0","0","11.0","0","0.0","","0.0"
"1","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.1666667","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.01612903","13.0","0","8.0","0","0.0","0","12.0","0.02173913","2.0","0","7.0","0"
"2","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.1666667","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.01418440","13.0","0","8.0","0","0.0","0","12.0","0.01904762","2.0","0","7.0","0"
"3","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.15","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.01190476","13.0","0","8.0","0","0.0","0","12.0","0.01595745","2.0","0","7.0","0"
"4","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.1333333","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.01012658","13.0","0","8.0","0","0.0","0","12.0","0.01355932","2.0","0","7.0","0"
"5","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.1190476","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.008771930","13.0","0","8.0","0","0.0","0","12.0","0.01173709","2.0","0","7.0","0"
"6","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.1071429","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.007722008","13.0","0","8.0","0","0.0","0","12.0","0.01032702","2.0","0","7.0","0"
"7","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.09722222","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.006889764","13.0","0","8.0","0","0.0","0","12.0","0.009210526","2.0","0","7.0","0"
"8","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.08888889","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.006216006","13.0","0","8.0","0","0.0","0","12.0","0.008307373","2.0","0","7.0","0"
"9","0.3509700","0.5105820","0.11965811965811966","3.111111111111111","2.0","0","3.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","7.0","0.08181818","3.0","0","1.0","0","3.0","0","2.0","0","7.0","0","2.0","0","2.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","1.0","0","16.0","0.005660377","13.0","0","8.0","0","0.0","0","12.0","0.007563025","2.0","0","7.0","0"
