"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS"
"11","6.0","1.0","6.0","0.4","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","1.0","3.0","3.0","0.06666666666666667","0.2","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","12.0","0.0","0.0","0.8","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","6.0","1.0","6.0","0.4","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","3.0","1.0","3.0","0.2","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","1.0","3.0","3.0","0.06666666666666667","0.2","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","4.0","1.0","4.0","0.26666666666666666","0.06666666666666667","3.0","1.0","3.0","0.2","0.06666666666666667","5.0","0.0","0.0","0.3333333333333333","0.0","0.0","12.0","0.0","0.0","0.8","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","6.0","1.0","6.0","0.375","0.0625","1.0","2.0","2.0","0.0625","0.125","1.0","2.0","2.0","0.0625","0.125","3.0","1.0","3.0","0.1875","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","3.0","3.0","0.0625","0.1875","1.0","1.0","1.0","0.0625","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","6.0","0.0","0.0","0.375","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","6.0","1.0","6.0","0.375","0.0625","1.0","2.0","2.0","0.0625","0.125","1.0","2.0","2.0","0.0625","0.125","3.0","1.0","3.0","0.1875","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","3.0","3.0","0.0625","0.1875","1.0","1.0","1.0","0.0625","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","6.0","0.0","0.0","0.375","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","6.0","1.0","6.0","0.375","0.0625","1.0","2.0","2.0","0.0625","0.125","1.0","2.0","2.0","0.0625","0.125","3.0","1.0","3.0","0.1875","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","3.0","3.0","0.0625","0.1875","1.0","1.0","1.0","0.0625","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","6.0","0.0","0.0","0.375","0.0","0.0","13.0","0.0","0.0","0.8125","1.0","1.0","1.0","0.0625","0.0625","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","6.0","1.0","6.0","0.35294117647058826","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","0.0","14.0","0.0","0.0","0.8235294117647058","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","6.0","1.0","6.0","0.35294117647058826","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","0.0","14.0","0.0","0.0","0.8235294117647058","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","6.0","1.0","6.0","0.35294117647058826","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","4.0","1.0","4.0","0.23529411764705882","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","6.0","0.0","0.0","0.35294117647058826","0.0","0.0","14.0","0.0","0.0","0.8235294117647058","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","6.0","1.0","6.0","0.3333333333333333","0.05555555555555555","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","1.0","3.0","3.0","0.05555555555555555","0.16666666666666666","1.0","3.0","3.0","0.05555555555555555","0.16666666666666666","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","0.0","15.0","0.0","0.0","0.8333333333333334","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","0.0","0.0","0.0","0.0","0.0"
"20","6.0","1.0","6.0","0.3333333333333333","0.05555555555555555","2.0","2.0","4.0","0.1111111111111111","0.1111111111111111","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","1.0","3.0","3.0","0.05555555555555555","0.16666666666666666","1.0","3.0","3.0","0.05555555555555555","0.16666666666666666","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","6.0","0.0","0.0","0.3333333333333333","0.0","0.0","15.0","0.0","0.0","0.8333333333333334","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","0.0","0.0","0.0","0.0","0.0"
"21","6.0","1.0","6.0","0.3157894736842105","0.05263157894736842","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","4.0","1.0","4.0","0.21052631578947367","0.05263157894736842","3.0","1.0","3.0","0.15789473684210525","0.05263157894736842","7.0","0.0","0.0","0.3684210526315789","0.0","0.0","16.0","0.0","0.0","0.8421052631578947","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842"
