"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"1","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"2","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"3","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"4","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"5","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"6","0.275","0.6083333","0.26785714285714285","1.875","1.0","0","6.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0","0.0","","0.0"
"7","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.05833333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.05147059","4.0","0","5.0","0","1.0","0","3.0","0"
"8","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.09722222","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.07777778","4.0","0","5.0","0","1.0","0","3.0","0"
"9","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.1235294","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09130435","4.0","0","5.0","0","1.0","0","3.0","0"
"10","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.1414141","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09790210","4.0","0","5.0","0","1.0","0","3.0","0"
"11","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.1535088","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1005747","4.0","0","5.0","0","1.0","0","3.0","0"
"12","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.1615385","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1009615","4.0","0","5.0","0","1.0","0","3.0","0"
"13","0.2916667","0.5138889","0.2222222222222222","1.7777777777777777","1.0","0","3.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","0.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1","4.0","0","5.0","0","1.0","0","3.0","0"
