"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","RD21-ADS","RD21-GINI -ADS","RD21-AIS","RD21-GINI -AIS","RD22-ADS","RD22-GINI -ADS","RD22-AIS","RD22-GINI -AIS","RD23-ADS","RD23-GINI -ADS","RD23-AIS","RD23-GINI -AIS","RD24-ADS","RD24-GINI -ADS","RD24-AIS","RD24-GINI -AIS","RD25-ADS","RD25-GINI -ADS","RD25-AIS","RD25-GINI -AIS","RD26-ADS","RD26-GINI -ADS","RD26-AIS","RD26-GINI -AIS","RD27-ADS","RD27-GINI -ADS","RD27-AIS","RD27-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3016416","0.6737346","0.11497326203208556","3.7941176470588234","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","21.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","31.0","0","0.0","","0.0"
"1","0.3016416","0.6737346","0.11497326203208556","3.7941176470588234","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","21.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","31.0","0","0.0","","0.0"
"2","0.3016416","0.6737346","0.11497326203208556","3.7941176470588234","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","21.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","31.0","0","0.0","","0.0"
"3","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1013514","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01530612","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.006","2.0","0","10.0","0"
"4","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1411765","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01935484","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.007643312","2.0","0","10.0","0"
"5","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.15625","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.02","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.007936508","2.0","0","10.0","0"
"6","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1602136","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01948052","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.007756949","2.0","0","10.0","0"
"7","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1588983","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01856436","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.007411067","2.0","0","10.0","0"
"8","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1550388","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01754386","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.007017544","2.0","0","10.0","0"
"9","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.15","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01653543","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.006624606","2.0","0","10.0","0"
"10","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1444913","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01558442","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.006251628","2.0","0","10.0","0"
"11","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1388889","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01470588","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.005905512","2.0","0","10.0","0"
"12","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1333926","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01390176","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.005587633","2.0","0","10.0","0"
"13","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1281056","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01316840","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.005296950","2.0","0","10.0","0"
"14","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1230769","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.0125","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.005031447","2.0","0","10.0","0"
"15","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1183252","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01189024","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.004788802","2.0","0","10.0","0"
"16","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1138520","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01133297","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.004566707","2.0","0","10.0","0"
"17","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1096491","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01082251","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.004363002","2.0","0","10.0","0"
"18","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.1057036","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.01035375","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.004175729","2.0","0","10.0","0"
"19","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.102","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.009922179","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.004003140","2.0","0","10.0","0"
"20","0.3031625","0.6591058","0.11008403361344538","3.742857142857143","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","4.0","0","11.0","0.09852217","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","6.0","0","3.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","5.0","0","0.0","0","1.0","0","13.0","0.009523810","22.0","0","19.0","0","1.0","0","13.0","0","1.0","0","32.0","0.003843690","2.0","0","10.0","0"
