"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.4833333","0.4111111","0.22727272727272727","2.5","1.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","8.0","0","0.0","0","5.0","0"
"1","0.4833333","0.4111111","0.22727272727272727","2.5","1.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","8.0","0","0.0","0","5.0","0"
"2","0.4833333","0.4111111","0.22727272727272727","2.5","1.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","8.0","0","0.0","0","5.0","0"
"3","0.4833333","0.4111111","0.22727272727272727","2.5","1.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","8.0","0","0.0","0","5.0","0"
"4","0.4833333","0.4111111","0.22727272727272727","2.5","1.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","8.0","0","0.0","0","5.0","0"
"5","0.4833333","0.4111111","0.22727272727272727","2.5","1.0","0","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","8.0","0","0.0","0","5.0","0"
"6","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.1428571","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.01558442","0.0","0","5.0","0"
"7","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.25","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.02419355","0.0","0","5.0","0"
"8","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.3333333","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.02898551","0.0","0","5.0","0"
"9","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.4","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03157895","0.0","0","5.0","0"
