"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3264463","0.6790634","0.14285714285714285","3.0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","16.0","0","18.0","0","1.0","0","19.0","0","0.0","","0.0"
"1","0.3264463","0.6790634","0.14285714285714285","3.0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","16.0","0","18.0","0","1.0","0","19.0","0","0.0","","0.0"
"2","0.3264463","0.6790634","0.14285714285714285","3.0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","16.0","0","18.0","0","1.0","0","19.0","0","0.0","","0.0"
"3","0.3264463","0.6790634","0.14285714285714285","3.0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","16.0","0","18.0","0","1.0","0","19.0","0","0.0","","0.0"
"4","0.3264463","0.6790634","0.14285714285714285","3.0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0","16.0","0","18.0","0","1.0","0","19.0","0","0.0","","0.0"
"5","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.06830601","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.04385965","16.0","0","18.0","0","1.0","0","20.0","0.007246377","2.0","0","5.0","0"
"6","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1066098","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06211180","16.0","0","18.0","0","1.0","0","20.0","0.01058201","2.0","0","5.0","0"
"7","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1284247","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06944444","16.0","0","18.0","0","1.0","0","20.0","0.01209677","2.0","0","5.0","0"
"8","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1406470","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.07168459","16.0","0","18.0","0","1.0","0","20.0","0.01269841","2.0","0","5.0","0"
"9","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1470588","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.07142857","16.0","0","18.0","0","1.0","0","20.0","0.01282051","2.0","0","5.0","0"
"10","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1498501","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06993007","16.0","0","18.0","0","1.0","0","20.0","0.01268499","2.0","0","5.0","0"
"11","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1503436","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06782946","16.0","0","18.0","0","1.0","0","20.0","0.01241135","2.0","0","5.0","0"
"12","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1493652","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06546645","16.0","0","18.0","0","1.0","0","20.0","0.01206637","2.0","0","5.0","0"
"13","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1474443","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06302521","16.0","0","18.0","0","1.0","0","20.0","0.01168831","2.0","0","5.0","0"
"14","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1449275","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.06060606","16.0","0","18.0","0","1.0","0","20.0","0.01129944","2.0","0","5.0","0"
"15","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1420455","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05826271","16.0","0","18.0","0","1.0","0","20.0","0.01091270","2.0","0","5.0","0"
"16","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1389532","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05602241","16.0","0","18.0","0","1.0","0","20.0","0.01053556","2.0","0","5.0","0"
"17","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1357561","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05389718","16.0","0","18.0","0","1.0","0","20.0","0.01017214","2.0","0","5.0","0"
"18","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1325256","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05189029","16.0","0","18.0","0","1.0","0","20.0","0.009824561","2.0","0","5.0","0"
"19","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1293103","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.05","16.0","0","18.0","0","1.0","0","20.0","0.009493671","2.0","0","5.0","0"
"20","0.3209719","0.6662404","0.13438735177865613","2.9565217391304346","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1261432","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","0.0","0","4.0","0.04822182","16.0","0","18.0","0","1.0","0","20.0","0.009179575","2.0","0","5.0","0"
