"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.2807669","0.5924552","0.18333333333333332","3.6666666666666665","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"1","0.2807669","0.5924552","0.18333333333333332","3.6666666666666665","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"2","0.2807669","0.5924552","0.18333333333333332","3.6666666666666665","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","5.0","0","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","2.0","0","6.0","0","2.0","0","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"3","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.08333333","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.1071429","6.0","0","1.0","0.1071429","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"4","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.1142857","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.15","6.0","0","1.0","0.15","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"5","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.125","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.1666667","6.0","0","1.0","0.1666667","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"6","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.1269841","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.1714286","6.0","0","1.0","0.1714286","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"7","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.125","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.1704545","6.0","0","1.0","0.1704545","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"8","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.1212121","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.1666667","6.0","0","1.0","0.1666667","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
"9","0.2806349","0.6146032","0.17857142857142858","3.5714285714285716","2.0","0","1.0","0","3.0","0","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","3.0","0.1166667","5.0","0","4.0","0","0.0","0","5.0","0","3.0","0","3.0","0","2.0","0","3.0","0","1.0","0","2.0","0","3.0","0","3.0","0","2.0","0","5.0","0","0.0","0","3.0","0","1.0","0","4.0","0","2.0","0","5.0","0","1.0","0.1615385","6.0","0","1.0","0.1615385","3.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0","1.0","0","8.0","0","1.0","0","19.0","0"
