"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2333333","0.4481481","0.3","2.7","4.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.2333333","0.4481481","0.3","2.7","4.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.2333333","0.4481481","0.3","2.7","4.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.2333333","0.4481481","0.3","2.7","4.0","0","1.0","0","4.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.06956522","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03076923","3.0","0","2.0","0","1.0","0","5.0","0.03809524","1.0","0","7.0","0","2.0","0","2.0","0"
"5","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1025641","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04166667","3.0","0","2.0","0","1.0","0","5.0","0.05128205","1.0","0","7.0","0","2.0","0","2.0","0"
"6","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1182266","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04511278","3.0","0","2.0","0","1.0","0","5.0","0.05529954","1.0","0","7.0","0","2.0","0","2.0","0"
"7","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.125","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04545455","3.0","0","2.0","0","1.0","0","5.0","0.05555556","1.0","0","7.0","0","2.0","0","2.0","0"
"8","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1269841","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04444444","3.0","0","2.0","0","1.0","0","5.0","0.05420054","1.0","0","7.0","0","2.0","0","2.0","0"
"9","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1263158","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04285714","3.0","0","2.0","0","1.0","0","5.0","0.05217391","1.0","0","7.0","0","2.0","0","2.0","0"
