"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","BA10-ADS","BA10-AIS","BA10-ACS","BA10-RCS","BA10-RIS","BA11-ADS","BA11-AIS","BA11-ACS","BA11-RCS","BA11-RIS","BA12-ADS","BA12-AIS","BA12-ACS","BA12-RCS","BA12-RIS","BA13-ADS","BA13-AIS","BA13-ACS","BA13-RCS","BA13-RIS","BA14-ADS","BA14-AIS","BA14-ACS","BA14-RCS","BA14-RIS","BA15-ADS","BA15-AIS","BA15-ACS","BA15-RCS","BA15-RIS","BA16-ADS","BA16-AIS","BA16-ACS","BA16-RCS","BA16-RIS","BA17-ADS","BA17-AIS","BA17-ACS","BA17-RCS","BA17-RIS","BA18-ADS","BA18-AIS","BA18-ACS","BA18-RCS","BA18-RIS","BA19-ADS","BA19-AIS","BA19-ACS","BA19-RCS","BA19-RIS","BA20-ADS","BA20-AIS","BA20-ACS","BA20-RCS","BA20-RIS","BA21-ADS","BA21-AIS","BA21-ACS","BA21-RCS","BA21-RIS","BA22-ADS","BA22-AIS","BA22-ACS","BA22-RCS","BA22-RIS","BA23-ADS","BA23-AIS","BA23-ACS","BA23-RCS","BA23-RIS","BA24-ADS","BA24-AIS","BA24-ACS","BA24-RCS","BA24-RIS","BA25-ADS","BA25-AIS","BA25-ACS","BA25-RCS","BA25-RIS","BA26-ADS","BA26-AIS","BA26-ACS","BA26-RCS","BA26-RIS","BA27-ADS","BA27-AIS","BA27-ACS","BA27-RCS","BA27-RIS","BA28-ADS","BA28-AIS","BA28-ACS","BA28-RCS","BA28-RIS","BA29-ADS","BA29-AIS","BA29-ACS","BA29-RCS","BA29-RIS","BA30-ADS","BA30-AIS","BA30-ACS","BA30-RCS","BA30-RIS","BA31-ADS","BA31-AIS","BA31-ACS","BA31-RCS","BA31-RIS","BA32-ADS","BA32-AIS","BA32-ACS","BA32-RCS","BA32-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","7.0","8.0","56.0","0.1891891891891892","0.21621621621621623","3.0","7.0","21.0","0.08108108108108109","0.1891891891891892","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"2","7.0","8.0","56.0","0.1891891891891892","0.21621621621621623","3.0","7.0","21.0","0.08108108108108109","0.1891891891891892","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"3","7.0","8.0","56.0","0.1891891891891892","0.21621621621621623","3.0","7.0","21.0","0.08108108108108109","0.1891891891891892","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"4","7.0","8.0","56.0","0.1891891891891892","0.21621621621621623","3.0","7.0","21.0","0.08108108108108109","0.1891891891891892","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"5","5.0","8.0","40.0","0.13513513513513514","0.21621621621621623","3.0","6.0","18.0","0.08108108108108109","0.16216216216216217","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","1.0","2.0","0.05405405405405406","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"6","5.0","8.0","40.0","0.13513513513513514","0.21621621621621623","3.0","6.0","18.0","0.08108108108108109","0.16216216216216217","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","1.0","2.0","0.05405405405405406","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"7","5.0","8.0","40.0","0.13513513513513514","0.21621621621621623","3.0","6.0","18.0","0.08108108108108109","0.16216216216216217","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","1.0","2.0","0.05405405405405406","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"8","5.0","8.0","40.0","0.13513513513513514","0.21621621621621623","3.0","6.0","18.0","0.08108108108108109","0.16216216216216217","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","1.0","2.0","0.05405405405405406","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"9","5.0","8.0","40.0","0.13513513513513514","0.21621621621621623","3.0","6.0","18.0","0.08108108108108109","0.16216216216216217","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","1.0","2.0","0.05405405405405406","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
"10","5.0","8.0","40.0","0.13513513513513514","0.21621621621621623","3.0","6.0","18.0","0.08108108108108109","0.16216216216216217","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","3.0","9.0","0.08108108108108109","0.08108108108108109","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","2.0","6.0","0.08108108108108109","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","2.0","4.0","0.05405405405405406","0.05405405405405406","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","2.0","1.0","2.0","0.05405405405405406","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","0.0","0.0","0.08108108108108109","0.0","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","3.0","1.0","3.0","0.08108108108108109","0.02702702702702703","1.0","2.0","2.0","0.02702702702702703","0.05405405405405406","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","5.0","1.0","5.0","0.13513513513513514","0.02702702702702703","19.0","0.0","0.0","0.5135135135135135","0.0","0.0","34.0","0.0","0.0","0.918918918918919","1.0","35.0","35.0","0.02702702702702703","0.9459459459459459"
