"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2357143","0.5357143","0.3111111111111111","2.8","4.0","0","1.0","0","3.0","0","5.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2357143","0.5357143","0.3111111111111111","2.8","4.0","0","1.0","0","3.0","0","5.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2357143","0.5357143","0.3111111111111111","2.8","4.0","0","1.0","0","3.0","0","5.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2357143","0.5357143","0.3111111111111111","2.8","4.0","0","1.0","0","3.0","0","5.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2357143","0.5357143","0.3111111111111111","2.8","4.0","0","1.0","0","3.0","0","5.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.2357143","0.5357143","0.3111111111111111","2.8","4.0","0","1.0","0","3.0","0","5.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","7.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"6","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.05194805","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.01714286","1.0","0","5.0","0.02955665","1.0","0","8.0","0","2.0","0","2.0","0"
"7","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.08333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02586207","1.0","0","5.0","0.04411765","1.0","0","8.0","0","2.0","0","2.0","0"
"8","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1025641","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03030303","1.0","0","5.0","0.05128205","1.0","0","8.0","0","2.0","0","2.0","0"
"9","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1142857","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03243243","1.0","0","5.0","0.05454545","1.0","0","8.0","0","2.0","0","2.0","0"
