"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"1","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"2","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"3","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"4","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"5","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"6","0.18","0.63","0.2222222222222222","2.0","2.0","0","7.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"7","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.04952830","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.01346154","1.0","0","3.0","0"
"8","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.08187135","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02102102","1.0","0","3.0","0"
"9","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1032787","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02530120","1.0","0","3.0","0"
"10","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1174825","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02766798","1.0","0","3.0","0"
"11","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1268116","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02887789","1.0","0","3.0","0"
"12","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1327713","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02937063","1.0","0","3.0","0"
"13","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1363636","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02941176","1.0","0","3.0","0"
"14","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1382716","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02916667","1.0","0","3.0","0"
"15","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1389706","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02874088","1.0","0","3.0","0"
"16","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1387971","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02820306","1.0","0","3.0","0"
"17","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1379928","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02759857","1.0","0","3.0","0"
"18","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1367336","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02695764","1.0","0","3.0","0"
"19","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1351485","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02630058","1.0","0","3.0","0"
"20","0.2077922","0.6060606","0.19090909090909092","1.9090909090909092","2.0","0","4.0","0.1333333","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02564103","1.0","0","3.0","0"
