"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2388664","0.6315789","0.24358974358974358","2.923076923076923","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","4.0","0","5.0","0","7.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"1","0.2388664","0.6315789","0.24358974358974358","2.923076923076923","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","4.0","0","5.0","0","7.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"2","0.2388664","0.6315789","0.24358974358974358","2.923076923076923","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","4.0","0","5.0","0","7.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"3","0.2388664","0.6315789","0.24358974358974358","2.923076923076923","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","4.0","0","5.0","0","7.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"4","0.2388664","0.6315789","0.24358974358974358","2.923076923076923","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","9.0","0","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","4.0","0","5.0","0","7.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"5","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.06666667","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03333333","5.0","0","7.0","0","1.0","0","6.0","0.02688172","1.0","0","11.0","0.01366120","3.0","0","4.0","0"
"6","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1038961","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","5.0","0","7.0","0","1.0","0","6.0","0.03861004","1.0","0","11.0","0.01984127","3.0","0","4.0","0"
"7","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.125","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05357143","5.0","0","7.0","0","1.0","0","6.0","0.04360465","1.0","0","11.0","0.02259036","3.0","0","4.0","0"
"8","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1367521","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05555556","5.0","0","7.0","0","1.0","0","6.0","0.04535147","1.0","0","11.0","0.02364066","3.0","0","4.0","0"
"9","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1428571","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05555556","5.0","0","7.0","0","1.0","0","6.0","0.04545455","1.0","0","11.0","0.02380952","3.0","0","4.0","0"
