"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2662338","0.4805195","0.2545454545454545","2.5454545454545454","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.2662338","0.4805195","0.2545454545454545","2.5454545454545454","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.2662338","0.4805195","0.2545454545454545","2.5454545454545454","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.2662338","0.4805195","0.2545454545454545","2.5454545454545454","2.0","0","4.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","4.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.08888889","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03809524","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.01951220","2.0","0","2.0","0"
"5","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05128205","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02666667","2.0","0","2.0","0"
"6","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05529954","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02905569","2.0","0","2.0","0"
"7","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05555556","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02941176","2.0","0","2.0","0"
"8","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1709402","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05420054","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02886003","2.0","0","2.0","0"
"9","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.05217391","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02790698","2.0","0","2.0","0"
