"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3653846","0.4487179","0.19696969696969696","2.1666666666666665","1.0","0","5.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","3.0","0","6.0","0","6.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.3653846","0.4487179","0.19696969696969696","2.1666666666666665","1.0","0","5.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","3.0","0","6.0","0","6.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.3653846","0.4487179","0.19696969696969696","2.1666666666666665","1.0","0","5.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","3.0","0","6.0","0","6.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.3653846","0.4487179","0.19696969696969696","2.1666666666666665","1.0","0","5.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","3.0","0","6.0","0","6.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.3653846","0.4487179","0.19696969696969696","2.1666666666666665","1.0","0","5.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","3.0","0","6.0","0","6.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.3653846","0.4487179","0.19696969696969696","2.1666666666666665","1.0","0","5.0","0","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","3.0","0","6.0","0","6.0","0","0.0","0","5.0","0","0.0","","0.0"
"6","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.05194805","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.03896104","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"7","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.08333333","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.05769231","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"8","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.1025641","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.06666667","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"9","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.1142857","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.07058824","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"10","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.1212121","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.07177033","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"11","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.125","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.07142857","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"12","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.1266968","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.07023411","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"13","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.1269841","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.06857143","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"14","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.1263158","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.06666667","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
"15","0.3703704","0.4330484","0.17307692307692307","2.076923076923077","1.0","0","3.0","0.125","3.0","0","1.0","0","1.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0.06465517","6.0","0","6.0","0","0.0","0","5.0","0","1.0","0","2.0","0"
