"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2612164","0.6001994","0.21691176470588236","3.4705882352941178","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","11.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","14.0","0","1.0","0","7.0","0","1.0","0","15.0","0","0.0","","0.0"
"1","0.2612164","0.6001994","0.21691176470588236","3.4705882352941178","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","11.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","14.0","0","1.0","0","7.0","0","1.0","0","15.0","0","0.0","","0.0"
"2","0.2612164","0.6001994","0.21691176470588236","3.4705882352941178","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","11.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","14.0","0","1.0","0","7.0","0","1.0","0","15.0","0","0.0","","0.0"
"3","0.2612164","0.6001994","0.21691176470588236","3.4705882352941178","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","11.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","14.0","0","1.0","0","7.0","0","1.0","0","15.0","0","0.0","","0.0"
"4","0.2612164","0.6001994","0.21691176470588236","3.4705882352941178","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","11.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","14.0","0","1.0","0","7.0","0","1.0","0","15.0","0","0.0","","0.0"
"5","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.06830601","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.009803922","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
"6","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.1066098","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.01428571","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
"7","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.1284247","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.01630435","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
"8","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.1406470","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.01709402","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
"9","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.1470588","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.01724138","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
"10","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.1498501","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.01704545","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
"11","0.2814815","0.5870370","0.19607843137254902","3.3333333333333335","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","6.0","0.1503436","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","9.0","0","1.0","0","6.0","0","0.0","0","1.0","0","15.0","0.01666667","1.0","0","7.0","0","1.0","0","15.0","0","1.0","0","5.0","0"
