"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2564103","0.6903353","0.25","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","9.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.2564103","0.6903353","0.25","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","9.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.2564103","0.6903353","0.25","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","9.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.2564103","0.6903353","0.25","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","9.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.2564103","0.6903353","0.25","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","9.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","11.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"5","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.06666667","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01243781","1.0","0","6.0","0.02688172","1.0","0","12.0","0.01243781","3.0","0","4.0","0"
"6","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1038961","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01808318","1.0","0","6.0","0.03861004","1.0","0","12.0","0.01808318","3.0","0","4.0","0"
"7","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.125","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.02060440","1.0","0","6.0","0.04360465","1.0","0","12.0","0.02060440","3.0","0","4.0","0"
"8","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1367521","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.02157497","1.0","0","6.0","0.04535147","1.0","0","12.0","0.02157497","3.0","0","4.0","0"
"9","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1428571","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.02173913","1.0","0","6.0","0.04545455","1.0","0","12.0","0.02173913","3.0","0","4.0","0"
"10","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1454545","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.02147459","1.0","0","6.0","0.04470939","1.0","0","12.0","0.02147459","3.0","0","4.0","0"
"11","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1458333","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.02098321","1.0","0","6.0","0.04353234","1.0","0","12.0","0.02098321","3.0","0","4.0","0"
"12","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1447964","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.02037697","1.0","0","6.0","0.04214963","1.0","0","12.0","0.02037697","3.0","0","4.0","0"
"13","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1428571","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01971954","1.0","0","6.0","0.04068716","1.0","0","12.0","0.01971954","3.0","0","4.0","0"
"14","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1403509","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01904762","1.0","0","6.0","0.03921569","1.0","0","12.0","0.01904762","3.0","0","4.0","0"
"15","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1375","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01838235","1.0","0","6.0","0.03777473","1.0","0","12.0","0.01838235","3.0","0","4.0","0"
"16","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1344538","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01773574","1.0","0","6.0","0.03638569","1.0","0","12.0","0.01773574","3.0","0","4.0","0"
"17","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1313131","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01711427","1.0","0","6.0","0.03505933","1.0","0","12.0","0.01711427","3.0","0","4.0","0"
"18","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1281465","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01652112","1.0","0","6.0","0.03380010","1.0","0","12.0","0.01652112","3.0","0","4.0","0"
"19","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.125","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01595745","1.0","0","6.0","0.03260870","1.0","0","12.0","0.01595745","3.0","0","4.0","0"
"20","0.2448980","0.6802721","0.23076923076923078","3.0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1219048","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","12.0","0.01542317","1.0","0","6.0","0.03148367","1.0","0","12.0","0.01542317","3.0","0","4.0","0"
