"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"2","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"3","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"4","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"5","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"6","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"7","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"8","3.0","1.0","3.0","0.3","0.1","2.0","1.0","2.0","0.2","0.1","3.0","4.0","12.0","0.3","0.4","4.0","1.0","4.0","0.4","0.1","4.0","1.0","4.0","0.4","0.1","3.0","0.0","0.0","0.3","0.0","1.0","3.0","3.0","0.1","0.3","4.0","4.0","16.0","0.4","0.4","1.0","4.0","4.0","0.1","0.4","1.0","7.0","7.0","0.1","0.7","0.0","0.0","0.0","0.0","0.0"
"9","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"10","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"11","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"12","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"13","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"14","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"15","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"16","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"17","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"18","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"19","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"20","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
"21","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","4.0","4.0","16.0","0.36363636363636365","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","1.0","2.0","2.0","0.09090909090909091","0.18181818181818182"
