"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.18","0.56","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"1","0.18","0.56","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"2","0.18","0.56","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"3","0.18","0.56","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"4","0.18","0.56","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"5","0.18","0.56","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","8.0","0","0.0","","0.0"
"6","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.05194805","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.01503759","1.0","0","2.0","0"
"7","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.08333333","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02272727","1.0","0","2.0","0"
"8","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1025641","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02666667","1.0","0","2.0","0"
"9","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1142857","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02857143","1.0","0","2.0","0"
"10","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1212121","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02932551","1.0","0","2.0","0"
"11","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.125","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02941176","1.0","0","2.0","0"
"12","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1266968","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02910603","1.0","0","2.0","0"
"13","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1269841","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02857143","1.0","0","2.0","0"
"14","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1263158","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02790698","1.0","0","2.0","0"
"15","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.125","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02717391","1.0","0","2.0","0"
"16","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1232493","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02641056","1.0","0","2.0","0"
"17","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1212121","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02564103","1.0","0","2.0","0"
"18","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1189931","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02488038","1.0","0","2.0","0"
"19","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1166667","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02413793","1.0","0","2.0","0"
"20","0.2077922","0.5367965","0.19090909090909092","1.9090909090909092","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","3.0","0.1142857","2.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","9.0","0.02341920","1.0","0","2.0","0"
