"release","SIY","SCF","ADCS"
"0","","0.12142857142857143","2.4285714285714284"
"1","","0.12142857142857143","2.4285714285714284"
"2","","0.12142857142857143","2.4285714285714284"
"3","","0.12142857142857143","2.4285714285714284"
"4","","0.11688311688311688","2.4545454545454546"
"5","","0.11688311688311688","2.4545454545454546"
"6","","0.11067193675889328","2.4347826086956523"
"7","","0.11067193675889328","2.4347826086956523"
"8","","0.10333333333333333","2.48"
"9","","0.10333333333333333","2.48"
"10","","0.10333333333333333","2.48"
"11","","0.10333333333333333","2.48"
"12","","0.09544159544159544","2.4814814814814814"
"13","","0.09259259259259259","2.5"
"14","","0.08990147783251232","2.5172413793103448"
"15","","0.08990147783251232","2.5172413793103448"
"16","","0.08990147783251232","2.5172413793103448"
"17","","0.08279569892473118","2.4838709677419355"
"18","","0.08279569892473118","2.4838709677419355"
"19","","0.08279569892473118","2.4838709677419355"
"20","","0.07575757575757576","2.5"
