"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS"
"0","0.4469697","0.4015152","0.21818181818181817","2.1818181818181817","6.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"1","0.4469697","0.4015152","0.21818181818181817","2.1818181818181817","6.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"2","0.4469697","0.4015152","0.21818181818181817","2.1818181818181817","6.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"3","0.4469697","0.4015152","0.21818181818181817","2.1818181818181817","6.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"4","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.08888889","2.0","0","2.0","0","1.0","0.08888889","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"5","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1333333","2.0","0","2.0","0","1.0","0.1333333","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"6","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1558442","2.0","0","2.0","0","1.0","0.1558442","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"7","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1666667","2.0","0","2.0","0","1.0","0.1666667","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"8","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1709402","2.0","0","2.0","0","1.0","0.1709402","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"9","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1714286","2.0","0","2.0","0","1.0","0.1714286","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"10","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1696970","2.0","0","2.0","0","1.0","0.1696970","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"11","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1666667","2.0","0","2.0","0","1.0","0.1666667","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"12","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1628959","2.0","0","2.0","0","1.0","0.1628959","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"13","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1587302","2.0","0","2.0","0","1.0","0.1587302","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"14","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1543860","2.0","0","2.0","0","1.0","0.1543860","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"15","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.15","2.0","0","2.0","0","1.0","0.15","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"16","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1456583","2.0","0","2.0","0","1.0","0.1456583","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"17","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1414141","2.0","0","2.0","0","1.0","0.1414141","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"18","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1372998","2.0","0","2.0","0","1.0","0.1372998","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"19","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1333333","2.0","0","2.0","0","1.0","0.1333333","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
"20","0.4743083","0.4268775","0.20909090909090908","2.090909090909091","6.0","0","1.0","0.1295238","2.0","0","2.0","0","1.0","0.1295238","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","0.0","0","2.0","0","6.0","0","0.0","0","0.0","0","8.0","0"
