"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","RD19-ADS","RD19-GINI -ADS","RD19-AIS","RD19-GINI -AIS","RD20-ADS","RD20-GINI -ADS","RD20-AIS","RD20-GINI -AIS","RD21-ADS","RD21-GINI -ADS","RD21-AIS","RD21-GINI -AIS","RD22-ADS","RD22-GINI -ADS","RD22-AIS","RD22-GINI -AIS","RD23-ADS","RD23-GINI -ADS","RD23-AIS","RD23-GINI -AIS","RD24-ADS","RD24-GINI -ADS","RD24-AIS","RD24-GINI -AIS","RD25-ADS","RD25-GINI -ADS","RD25-AIS","RD25-GINI -AIS","RD26-ADS","RD26-GINI -ADS","RD26-AIS","RD26-GINI -AIS","RD27-ADS","RD27-GINI -ADS","RD27-AIS","RD27-GINI -AIS","RD28-ADS","RD28-GINI -ADS","RD28-AIS","RD28-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3764706","0.5815126","0.12477718360071301","4.117647058823529","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","14.0","0","24.0","0","18.0","0","1.0","0","13.0","0","1.0","0","31.0","0","0.0","","0.0"
"1","0.3764706","0.5815126","0.12477718360071301","4.117647058823529","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","14.0","0","24.0","0","18.0","0","1.0","0","13.0","0","1.0","0","31.0","0","0.0","","0.0"
"2","0.3764706","0.5815126","0.12477718360071301","4.117647058823529","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","14.0","0","24.0","0","18.0","0","1.0","0","13.0","0","1.0","0","31.0","0","0.0","","0.0"
"3","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.09615385","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01315789","24.0","0","18.0","0","1.0","0","14.0","0.01415094","1.0","0","31.0","0","2.0","0","5.0","0"
"4","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1333333","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01666667","24.0","0","18.0","0","1.0","0","14.0","0.01791045","1.0","0","31.0","0","2.0","0","5.0","0"
"5","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1470588","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01724138","24.0","0","18.0","0","1.0","0","14.0","0.01851852","1.0","0","31.0","0","2.0","0","5.0","0"
"6","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1503759","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01680672","24.0","0","18.0","0","1.0","0","14.0","0.01804511","1.0","0","31.0","0","2.0","0","5.0","0"
"7","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1488095","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01602564","24.0","0","18.0","0","1.0","0","14.0","0.01720183","1.0","0","31.0","0","2.0","0","5.0","0"
"8","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1449275","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01515152","24.0","0","18.0","0","1.0","0","14.0","0.01626016","1.0","0","31.0","0","2.0","0","5.0","0"
"9","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.14","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01428571","24.0","0","18.0","0","1.0","0","14.0","0.01532847","1.0","0","31.0","0","2.0","0","5.0","0"
"10","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1346801","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01346801","24.0","0","18.0","0","1.0","0","14.0","0.01444913","1.0","0","31.0","0","2.0","0","5.0","0"
"11","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1293103","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01271186","24.0","0","18.0","0","1.0","0","14.0","0.01363636","1.0","0","31.0","0","2.0","0","5.0","0"
"12","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1240695","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01201923","24.0","0","18.0","0","1.0","0","14.0","0.01289214","1.0","0","31.0","0","2.0","0","5.0","0"
"13","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1190476","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01138716","24.0","0","18.0","0","1.0","0","14.0","0.01221318","1.0","0","31.0","0","2.0","0","5.0","0"
"14","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1142857","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01081081","24.0","0","18.0","0","1.0","0","14.0","0.01159420","1.0","0","31.0","0","2.0","0","5.0","0"
"15","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1097973","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.01028481","24.0","0","18.0","0","1.0","0","14.0","0.01102941","1.0","0","31.0","0","2.0","0","5.0","0"
"16","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1055807","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.009803922","24.0","0","18.0","0","1.0","0","14.0","0.01051314","1.0","0","31.0","0","2.0","0","5.0","0"
"17","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1016260","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.009363296","24.0","0","18.0","0","1.0","0","14.0","0.01004016","1.0","0","31.0","0","2.0","0","5.0","0"
"18","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.09791922","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.008958567","24.0","0","18.0","0","1.0","0","14.0","0.009605763","1.0","0","31.0","0","2.0","0","5.0","0"
"19","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.09444444","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.008585859","24.0","0","18.0","0","1.0","0","14.0","0.009205776","1.0","0","31.0","0","2.0","0","5.0","0"
"20","0.3762575","0.5734406","0.11932773109243698","4.057142857142857","4.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","6.0","0","3.0","0","7.0","0","1.0","0","3.0","0","2.0","0","3.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.09118541","6.0","0","2.0","0","6.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","4.0","0","1.0","0","8.0","0","3.0","0","5.0","0","0.0","0","5.0","0","0.0","0","1.0","0","15.0","0.008241758","24.0","0","18.0","0","1.0","0","14.0","0.008836524","1.0","0","31.0","0","2.0","0","5.0","0"
