"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"1","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"2","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"3","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"4","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"5","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"6","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"7","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"8","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"9","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"10","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
