"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"1","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"2","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"3","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"4","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"5","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"6","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"7","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"8","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"9","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"10","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"11","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"12","0.3529412","0.4353741","0.2361111111111111","1.8888888888888888","6.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0","1.0","0","3.0","0","1.0","0","7.0","0"
"13","0.3214286","0.4060150","0.2857142857142857","2.0","5.0","0.01118761","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.01118761","1.0","0","3.0","0","1.0","0","6.0","0.009572901"
"14","0.3214286","0.4060150","0.2857142857142857","2.0","5.0","0.01969697","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.01969697","1.0","0","3.0","0","1.0","0","6.0","0.01682848"
"15","0.3214286","0.4060150","0.2857142857142857","2.0","5.0","0.02620968","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.02620968","1.0","0","3.0","0","1.0","0","6.0","0.02236239"
"16","0.3214286","0.4060150","0.2857142857142857","2.0","5.0","0.03121248","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03121248","1.0","0","3.0","0","1.0","0","6.0","0.02659847"
