"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3956044","0.4102564","0.2692307692307692","3.230769230769231","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","8.0","0","1.0","0","5.0","0","1.0","0","10.0","0"
"1","0.3956044","0.4102564","0.2692307692307692","3.230769230769231","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","8.0","0","1.0","0","5.0","0","1.0","0","10.0","0"
"2","0.3956044","0.4102564","0.2692307692307692","3.230769230769231","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","8.0","0","1.0","0","5.0","0","1.0","0","10.0","0"
"3","0.3956044","0.4102564","0.2692307692307692","3.230769230769231","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","8.0","0","1.0","0","5.0","0","1.0","0","10.0","0"
"4","0.3956044","0.4102564","0.2692307692307692","3.230769230769231","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","8.0","0","1.0","0","5.0","0","1.0","0","10.0","0"
"5","0.3956044","0.4102564","0.2692307692307692","3.230769230769231","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","8.0","0","1.0","0","5.0","0","1.0","0","10.0","0"
"6","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.06593407","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.01558442","1.0","0","5.0","0","1.0","0","10.0","0"
"7","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1071429","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.02419355","1.0","0","5.0","0","1.0","0","10.0","0"
"8","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1333333","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.02898551","1.0","0","5.0","0","1.0","0","10.0","0"
"9","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.15","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03157895","1.0","0","5.0","0","1.0","0","10.0","0"
