"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS"
"0","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"1","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"2","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"3","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"4","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"5","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"6","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"7","0.3827160","0.4074074","0.25","2.0","5.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"8","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.05228758","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.1111111","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"9","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.08888889","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.2","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"10","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1148325","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.2727273","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"11","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1333333","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.3333333","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"12","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1465201","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.3846154","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"13","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1558442","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.4285714","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"14","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1623188","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.4666667","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"15","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1666667","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.5","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"16","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1694118","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.5294118","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"17","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1709402","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.5555556","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"18","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1715400","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.5789474","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
"19","0.4444444","0.4313725","0.2361111111111111","1.8888888888888888","5.0","0","1.0","0","2.0","0","1.0","0.1714286","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","2.0","0","0.0","0.6","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","6.0","0"
