"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","7.0","1.0","7.0","0.5","0.07142857142857142","1.0","2.0","2.0","0.07142857142857142","0.14285714285714285","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","1.0","3.0","3.0","0.07142857142857142","0.21428571428571427","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","6.0","0.0","0.0","0.42857142857142855","0.0","1.0","7.0","7.0","0.07142857142857142","0.5","2.0","5.0","10.0","0.14285714285714285","0.35714285714285715","0.0","5.0","0.0","0.0","0.35714285714285715","1.0","1.0","1.0","0.07142857142857142","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","0.0","0.0","0.21428571428571427","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","7.0","1.0","7.0","0.4666666666666667","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","3.0","3.0","0.06666666666666667","0.2","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","0.0","6.0","0.0","0.0","0.4","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","7.0","1.0","7.0","0.4666666666666667","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","3.0","3.0","0.06666666666666667","0.2","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","0.0","6.0","0.0","0.0","0.4","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","7.0","1.0","7.0","0.4666666666666667","0.06666666666666667","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","1.0","3.0","3.0","0.06666666666666667","0.2","1.0","2.0","2.0","0.06666666666666667","0.13333333333333333","2.0","2.0","4.0","0.13333333333333333","0.13333333333333333","6.0","0.0","0.0","0.4","0.0","1.0","8.0","8.0","0.06666666666666667","0.5333333333333333","2.0","5.0","10.0","0.13333333333333333","0.3333333333333333","0.0","6.0","0.0","0.0","0.4","1.0","1.0","1.0","0.06666666666666667","0.06666666666666667","2.0","1.0","2.0","0.13333333333333333","0.06666666666666667","3.0","0.0","0.0","0.2","0.0","3.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","2.0","4.0","0.125","0.125","7.0","1.0","7.0","0.4375","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","2.0","2.0","0.0625","0.125","3.0","2.0","6.0","0.1875","0.125","6.0","0.0","0.0","0.375","0.0","1.0","9.0","9.0","0.0625","0.5625","2.0","5.0","10.0","0.125","0.3125","0.0","7.0","0.0","0.0","0.4375","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","2.0","4.0","0.125","0.125","7.0","1.0","7.0","0.4375","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","2.0","2.0","0.0625","0.125","3.0","2.0","6.0","0.1875","0.125","6.0","0.0","0.0","0.375","0.0","1.0","9.0","9.0","0.0625","0.5625","2.0","5.0","10.0","0.125","0.3125","0.0","7.0","0.0","0.0","0.4375","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","2.0","4.0","0.125","0.125","7.0","1.0","7.0","0.4375","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","2.0","2.0","0.0625","0.125","3.0","2.0","6.0","0.1875","0.125","6.0","0.0","0.0","0.375","0.0","1.0","9.0","9.0","0.0625","0.5625","2.0","5.0","10.0","0.125","0.3125","0.0","7.0","0.0","0.0","0.4375","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.125","0.125","7.0","1.0","7.0","0.4375","0.0625","1.0","2.0","2.0","0.0625","0.125","2.0","1.0","2.0","0.125","0.0625","1.0","3.0","3.0","0.0625","0.1875","1.0","2.0","2.0","0.0625","0.125","3.0","2.0","6.0","0.1875","0.125","6.0","0.0","0.0","0.375","0.0","1.0","9.0","9.0","0.0625","0.5625","2.0","5.0","10.0","0.125","0.3125","0.0","7.0","0.0","0.0","0.4375","1.0","1.0","1.0","0.0625","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","0.0","0.0","0.1875","0.0","3.0","0.0","0.0","0.1875","0.0","2.0","1.0","2.0","0.125","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","10.0","10.0","0.058823529411764705","0.5882352941176471","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","0.0","8.0","0.0","0.0","0.47058823529411764","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.11764705882352941","0.11764705882352941","7.0","1.0","7.0","0.4117647058823529","0.058823529411764705","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","1.0","3.0","3.0","0.058823529411764705","0.17647058823529413","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","3.0","3.0","9.0","0.17647058823529413","0.17647058823529413","6.0","0.0","0.0","0.35294117647058826","0.0","1.0","10.0","10.0","0.058823529411764705","0.5882352941176471","2.0","5.0","10.0","0.11764705882352941","0.29411764705882354","0.0","8.0","0.0","0.0","0.47058823529411764","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","3.0","0.0","0.0","0.17647058823529413","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","0.0","0.0","0.17647058823529413","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.10526315789473684","0.10526315789473684","7.0","1.0","7.0","0.3684210526315789","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","1.0","3.0","3.0","0.05263157894736842","0.15789473684210525","1.0","2.0","2.0","0.05263157894736842","0.10526315789473684","3.0","3.0","9.0","0.15789473684210525","0.15789473684210525","6.0","0.0","0.0","0.3157894736842105","0.0","1.0","12.0","12.0","0.05263157894736842","0.631578947368421","2.0","5.0","10.0","0.10526315789473684","0.2631578947368421","0.0","9.0","0.0","0.0","0.47368421052631576","1.0","1.0","1.0","0.05263157894736842","0.05263157894736842","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","4.0","0.0","0.0","0.21052631578947367","0.0","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842","3.0","0.0","0.0","0.15789473684210525","0.0","2.0","0.0","0.0","0.10526315789473684","0.0","2.0","1.0","2.0","0.10526315789473684","0.05263157894736842"
