"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2618926","0.5861893","0.16798418972332016","3.6956521739130435","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","6.0","0","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","21.0","0","0.0","","0.0"
"1","0.2618926","0.5861893","0.16798418972332016","3.6956521739130435","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","6.0","0","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","21.0","0","0.0","","0.0"
"2","0.2618926","0.5861893","0.16798418972332016","3.6956521739130435","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","6.0","0","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","20.0","0","1.0","0","9.0","0","1.0","0","21.0","0","0.0","","0.0"
"3","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1071429","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.009259259","1.0","0","10.0","0.02027027","1.0","0","22.0","0.008823529","3.0","0","3.0","0"
"4","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.15","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01176471","1.0","0","10.0","0.02553191","1.0","0","22.0","0.01121495","3.0","0","3.0","0"
"5","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1666667","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01219512","1.0","0","10.0","0.02631579","1.0","0","22.0","0.01162791","3.0","0","3.0","0"
"6","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1714286","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01190476","1.0","0","10.0","0.02558635","1.0","0","22.0","0.01135289","3.0","0","3.0","0"
"7","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1704545","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01136364","1.0","0","10.0","0.02435065","1.0","0","22.0","0.01083815","3.0","0","3.0","0"
"8","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1666667","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01075269","1.0","0","10.0","0.02298851","1.0","0","22.0","0.01025641","3.0","0","3.0","0"
"9","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1615385","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.01014493","1.0","0","10.0","0.02164948","1.0","0","22.0","0.009677419","3.0","0","3.0","0"
"10","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1558442","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.009569378","1.0","0","10.0","0.02039082","1.0","0","22.0","0.009128946","3.0","0","3.0","0"
"11","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.15","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.009036145","1.0","0","10.0","0.01923077","1.0","0","22.0","0.008620690","3.0","0","3.0","0"
"12","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1442308","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.008547009","1.0","0","10.0","0.01817081","1.0","0","22.0","0.008154390","3.0","0","3.0","0"
"13","0.2575758","0.5823864","0.15942028985507245","3.6666666666666665","3.0","0","1.0","0","6.0","0","1.0","0","4.0","0","2.0","0","7.0","0","2.0","0","3.0","0","3.0","0","6.0","0","1.0","0","4.0","0","1.0","0","5.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","3.0","0.1386555","3.0","0","2.0","0","5.0","0","2.0","0","3.0","0","2.0","0","2.0","0","3.0","0","7.0","0","1.0","0","5.0","0","0.0","0","1.0","0","21.0","0.008100147","1.0","0","10.0","0.01720542","1.0","0","22.0","0.007728337","3.0","0","3.0","0"
