"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2740864","0.5265781","0.23626373626373626","3.0714285714285716","2.0","0","8.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","4.0","0","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.2740864","0.5265781","0.23626373626373626","3.0714285714285716","2.0","0","8.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","4.0","0","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.2740864","0.5265781","0.23626373626373626","3.0714285714285716","2.0","0","8.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","4.0","0","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.2740864","0.5265781","0.23626373626373626","3.0714285714285716","2.0","0","8.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","4.0","0","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.2740864","0.5265781","0.23626373626373626","3.0714285714285716","2.0","0","8.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","4.0","0","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"5","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.07575758","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.03333333","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01243781","2.0","0","4.0","0"
"6","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1190476","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04761905","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01808318","2.0","0","4.0","0"
"7","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1442308","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.05357143","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02060440","2.0","0","4.0","0"
"8","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1587302","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.05555556","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02157497","2.0","0","4.0","0"
"9","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1666667","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.05555556","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02173913","2.0","0","4.0","0"
"10","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1704545","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.05454545","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02147459","2.0","0","4.0","0"
"11","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1715686","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.05303030","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02098321","2.0","0","4.0","0"
"12","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1709402","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.05128205","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.02037697","2.0","0","4.0","0"
"13","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1691729","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04945055","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01971954","2.0","0","4.0","0"
"14","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1666667","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04761905","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01904762","2.0","0","4.0","0"
"15","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1636905","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04583333","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01838235","2.0","0","4.0","0"
"16","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1604278","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04411765","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01773574","2.0","0","4.0","0"
"17","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1570048","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04248366","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01711427","2.0","0","4.0","0"
"18","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1535088","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.04093567","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01652112","2.0","0","4.0","0"
"19","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.15","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.03947368","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01595745","2.0","0","4.0","0"
"20","0.2755556","0.5066667","0.21428571428571427","3.0","2.0","0","4.0","0.1465201","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","1.0","0","5.0","0.03809524","4.0","0","7.0","0","1.0","0","5.0","0","1.0","0","12.0","0.01542317","2.0","0","4.0","0"
