"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2208995","0.7063492","0.17142857142857143","3.4285714285714284","4.0","0","15.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","18.0","0","1.0","0","8.0","0","1.0","0","19.0","0","0.0","","0.0"
"1","0.2208995","0.7063492","0.17142857142857143","3.4285714285714284","4.0","0","15.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","18.0","0","1.0","0","8.0","0","1.0","0","19.0","0","0.0","","0.0"
"2","0.2208995","0.7063492","0.17142857142857143","3.4285714285714284","4.0","0","15.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","18.0","0","1.0","0","8.0","0","1.0","0","19.0","0","0.0","","0.0"
"3","0.2208995","0.7063492","0.17142857142857143","3.4285714285714284","4.0","0","15.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","18.0","0","1.0","0","8.0","0","1.0","0","19.0","0","0.0","","0.0"
"4","0.2208995","0.7063492","0.17142857142857143","3.4285714285714284","4.0","0","15.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","18.0","0","1.0","0","8.0","0","1.0","0","19.0","0","0.0","","0.0"
"5","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.07028112","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.007645260","1.0","0","9.0","0.01700680","1.0","0","19.0","0","2.0","0","7.0","0"
"6","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1098901","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01116071","1.0","0","9.0","0.02463054","1.0","0","19.0","0","2.0","0","7.0","0"
"7","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1325758","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01275510","1.0","0","9.0","0.02798507","1.0","0","19.0","0","2.0","0","7.0","0"
"8","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1453790","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01338688","1.0","0","9.0","0.02923977","1.0","0","19.0","0","2.0","0","7.0","0"
"9","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1521739","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01351351","1.0","0","9.0","0.02941176","1.0","0","19.0","0","2.0","0","7.0","0"
"10","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1552106","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01336898","1.0","0","9.0","0.02901354","1.0","0","19.0","0","2.0","0","7.0","0"
"11","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1558524","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01307922","1.0","0","9.0","0.02831715","1.0","0","19.0","0","2.0","0","7.0","0"
"12","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1549530","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01271456","1.0","0","9.0","0.02747253","1.0","0","19.0","0","2.0","0","7.0","0"
"13","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1530612","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01231527","1.0","0","9.0","0.02656434","1.0","0","19.0","0","2.0","0","7.0","0"
"14","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1505376","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01190476","1.0","0","9.0","0.02564103","1.0","0","19.0","0","2.0","0","7.0","0"
"15","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1476227","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01149666","1.0","0","9.0","0.02473022","1.0","0","19.0","0","2.0","0","7.0","0"
"16","0.2272727","0.6904177","0.16017316017316016","3.3636363636363638","4.0","0","8.0","0.1444788","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","0","1.0","0","19.0","0.01109878","1.0","0","9.0","0.02384738","1.0","0","19.0","0","2.0","0","7.0","0"
