"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2314815","0.6018519","0.2727272727272727","3.0","4.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"1","0.2314815","0.6018519","0.2727272727272727","3.0","4.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"2","0.2314815","0.6018519","0.2727272727272727","3.0","4.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"3","0.2314815","0.6018519","0.2727272727272727","3.0","4.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"4","0.2314815","0.6018519","0.2727272727272727","3.0","4.0","0","7.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","1.0","0","5.0","0","1.0","0","10.0","0","0.0","","0.0"
"5","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.06410256","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.01515152","1.0","0","6.0","0.02688172","1.0","0","10.0","0","2.0","0","3.0","0"
"6","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.09966777","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02197802","1.0","0","6.0","0.03861004","1.0","0","10.0","0","2.0","0","3.0","0"
"7","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1196809","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.025","1.0","0","6.0","0.04360465","1.0","0","10.0","0","2.0","0","3.0","0"
"8","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1307190","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02614379","1.0","0","6.0","0.04535147","1.0","0","10.0","0","2.0","0","3.0","0"
"9","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1363636","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02631579","1.0","0","6.0","0.04545455","1.0","0","10.0","0","2.0","0","3.0","0"
"10","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1386749","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02597403","1.0","0","6.0","0.04470939","1.0","0","10.0","0","2.0","0","3.0","0"
"11","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1388889","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02536232","1.0","0","6.0","0.04353234","1.0","0","10.0","0","2.0","0","3.0","0"
"12","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1377727","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02461538","1.0","0","6.0","0.04214963","1.0","0","10.0","0","2.0","0","3.0","0"
"13","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1358149","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02380952","1.0","0","6.0","0.04068716","1.0","0","10.0","0","2.0","0","3.0","0"
"14","0.2388664","0.5951417","0.24358974358974358","2.923076923076923","4.0","0","4.0","0.1333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02298851","1.0","0","6.0","0.03921569","1.0","0","10.0","0","2.0","0","3.0","0"
