"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.49","0.3366667","0.1893939393939394","2.0833333333333335","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"1","0.49","0.3366667","0.1893939393939394","2.0833333333333335","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"2","0.49","0.3366667","0.1893939393939394","2.0833333333333335","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"3","0.49","0.3366667","0.1893939393939394","2.0833333333333335","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"4","0.49","0.3366667","0.1893939393939394","2.0833333333333335","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0"
"5","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.03623188"
"6","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.2857143","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.05494505"
"7","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.375","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06465517"
"8","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.4444444","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06944444"
"9","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.5","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.07142857"
