"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2833333","0.4785714","0.26515151515151514","2.9166666666666665","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","6.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.2833333","0.4785714","0.26515151515151514","2.9166666666666665","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","6.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.2833333","0.4785714","0.26515151515151514","2.9166666666666665","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","6.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.2833333","0.4785714","0.26515151515151514","2.9166666666666665","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","6.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","5.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.08888889","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03076923","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01739130","2.0","0","3.0","0"
"5","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1333333","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.04166667","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02380952","2.0","0","3.0","0"
"6","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1558442","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.04511278","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02597403","2.0","0","3.0","0"
"7","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1666667","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.04545455","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02631579","2.0","0","3.0","0"
"8","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1709402","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.04444444","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02583979","2.0","0","3.0","0"
"9","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1714286","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.04285714","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.025","2.0","0","3.0","0"
"10","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1696970","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.04105572","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02401372","2.0","0","3.0","0"
"11","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1666667","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03921569","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02298851","2.0","0","3.0","0"
"12","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1628959","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03742204","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02197802","2.0","0","3.0","0"
"13","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1587302","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03571429","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02100840","2.0","0","3.0","0"
"14","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1543860","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03410853","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.02009132","2.0","0","3.0","0"
"15","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.15","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03260870","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01923077","2.0","0","3.0","0"
"16","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1456583","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.03121248","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01842665","2.0","0","3.0","0"
"17","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1414141","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.02991453","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01767677","2.0","0","3.0","0"
"18","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1372998","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.02870813","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01697793","2.0","0","3.0","0"
"19","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1333333","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.02758621","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01632653","2.0","0","3.0","0"
"20","0.2827443","0.4823285","0.23717948717948717","2.8461538461538463","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","3.0","0.1295238","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","6.0","0.02654176","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","10.0","0.01571891","2.0","0","3.0","0"
