"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.1848485","0.7242424","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","7.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","13.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"1","0.1848485","0.7242424","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","7.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","13.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"2","0.1848485","0.7242424","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","7.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","13.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"3","0.1848485","0.7242424","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","7.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","13.0","0","1.0","0","6.0","0","1.0","0","13.0","0","0.0","","0.0"
"4","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.075","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01212121","1.0","0","7.0","0.02580645","1.0","0","13.0","0","2.0","0","3.0","0"
"5","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1111111","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01666667","1.0","0","7.0","0.03508772","1.0","0","13.0","0","2.0","0","3.0","0"
"6","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1285714","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01823708","1.0","0","7.0","0.03809524","1.0","0","13.0","0","2.0","0","3.0","0"
"7","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1363636","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01851852","1.0","0","7.0","0.03846154","1.0","0","13.0","0","2.0","0","3.0","0"
"8","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1388889","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01821494","1.0","0","7.0","0.03766478","1.0","0","13.0","0","2.0","0","3.0","0"
"9","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1384615","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01764706","1.0","0","7.0","0.03636364","1.0","0","13.0","0","2.0","0","3.0","0"
