"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.26","0.612","0.2777777777777778","2.5","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","8.0","0","1.0","0","8.0","0","0.0","","0.0"
"1","0.26","0.612","0.2777777777777778","2.5","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","8.0","0","1.0","0","8.0","0","0.0","","0.0"
"2","0.26","0.612","0.2777777777777778","2.5","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","8.0","0","1.0","0","8.0","0","0.0","","0.0"
"3","0.26","0.612","0.2777777777777778","2.5","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","8.0","0","1.0","0","8.0","0","0.0","","0.0"
"4","0.26","0.612","0.2777777777777778","2.5","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","8.0","0","1.0","0","8.0","0","0.0","","0.0"
"5","0.26","0.612","0.2777777777777778","2.5","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","8.0","0","1.0","0","8.0","0","0.0","","0.0"
"6","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.05194805","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.01503759","1.0","0","9.0","0.01503759","2.0","0","2.0","0"
"7","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.08333333","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02272727","1.0","0","9.0","0.02272727","2.0","0","2.0","0"
"8","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1025641","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02666667","1.0","0","9.0","0.02666667","2.0","0","2.0","0"
"9","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1142857","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02857143","1.0","0","9.0","0.02857143","2.0","0","2.0","0"
