"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2314050","0.5702479","0.2","2.0","2.0","0","7.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","0.0","","0.0"
"1","0.2314050","0.5702479","0.2","2.0","2.0","0","7.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","0.0","","0.0"
"2","0.2314050","0.5702479","0.2","2.0","2.0","0","7.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","0.0","","0.0"
"3","0.2314050","0.5702479","0.2","2.0","2.0","0","7.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","0.0","","0.0"
"4","0.2314050","0.5702479","0.2","2.0","2.0","0","7.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","0.0","","0.0"
"5","0.2314050","0.5702479","0.2","2.0","2.0","0","7.0","0","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","4.0","0","0.0","","0.0"
"6","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.05590062","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.02380952","3.0","0","4.0","0","1.0","0","3.0","0"
"7","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.09","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03571429","3.0","0","4.0","0","1.0","0","3.0","0"
"8","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1111111","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04166667","3.0","0","4.0","0","1.0","0","3.0","0"
"9","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1241379","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04444444","3.0","0","4.0","0","1.0","0","3.0","0"
"10","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1319648","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04545455","3.0","0","4.0","0","1.0","0","3.0","0"
"11","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1363636","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04545455","3.0","0","4.0","0","1.0","0","3.0","0"
"12","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1384615","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04487179","3.0","0","4.0","0","1.0","0","3.0","0"
"13","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1389961","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04395604","3.0","0","4.0","0","1.0","0","3.0","0"
"14","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1384615","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04285714","3.0","0","4.0","0","1.0","0","3.0","0"
"15","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1371951","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04166667","3.0","0","4.0","0","1.0","0","3.0","0"
"16","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1354309","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.04044118","3.0","0","4.0","0","1.0","0","3.0","0"
"17","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1333333","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03921569","3.0","0","4.0","0","1.0","0","3.0","0"
"18","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1310190","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03801170","3.0","0","4.0","0","1.0","0","3.0","0"
"19","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1285714","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03684211","3.0","0","4.0","0","1.0","0","3.0","0"
"20","0.25","0.5181159","0.17424242424242425","1.9166666666666667","2.0","0","4.0","0.1260504","2.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","0.0","0","6.0","0.03571429","3.0","0","4.0","0","1.0","0","3.0","0"
