"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2416667","0.5083333","0.26666666666666666","2.4","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.2416667","0.5083333","0.26666666666666666","2.4","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.2416667","0.5083333","0.26666666666666666","2.4","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.2416667","0.5083333","0.26666666666666666","2.4","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.2416667","0.5083333","0.26666666666666666","2.4","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"5","0.2416667","0.5083333","0.26666666666666666","2.4","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","5.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0","4.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"6","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.05194805","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.02955665","4.0","0","4.0","0","1.0","0","8.0","0.01714286","2.0","0","2.0","0"
"7","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.08333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.04411765","4.0","0","4.0","0","1.0","0","8.0","0.02586207","2.0","0","2.0","0"
"8","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1025641","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05128205","4.0","0","4.0","0","1.0","0","8.0","0.03030303","2.0","0","2.0","0"
"9","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1142857","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05454545","4.0","0","4.0","0","1.0","0","8.0","0.03243243","2.0","0","2.0","0"
"10","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1212121","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05565863","4.0","0","4.0","0","1.0","0","8.0","0.03325942","2.0","0","2.0","0"
"11","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.125","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05555556","4.0","0","4.0","0","1.0","0","8.0","0.03333333","2.0","0","2.0","0"
"12","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1266968","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05475880","4.0","0","4.0","0","1.0","0","8.0","0.03296703","2.0","0","2.0","0"
"13","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1269841","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05357143","4.0","0","4.0","0","1.0","0","8.0","0.03234501","2.0","0","2.0","0"
"14","0.2377622","0.5174825","0.23636363636363636","2.3636363636363638","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1263158","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","0.0","0","5.0","0.05217391","4.0","0","4.0","0","1.0","0","8.0","0.03157895","2.0","0","2.0","0"
