"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"1","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"2","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"3","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"4","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"5","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"6","0.2291667","0.5625","0.21428571428571427","1.5","1.0","0","4.0","0","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","2.0","0","2.0","0","4.0","0","0.0","","0.0"
"7","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.05833333","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.05147059","2.0","0","4.0","0","1.0","0","2.0","0"
"8","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.09722222","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.07777778","2.0","0","4.0","0","1.0","0","2.0","0"
"9","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1235294","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09130435","2.0","0","4.0","0","1.0","0","2.0","0"
"10","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1414141","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09790210","2.0","0","4.0","0","1.0","0","2.0","0"
"11","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1535088","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1005747","2.0","0","4.0","0","1.0","0","2.0","0"
"12","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1615385","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1009615","2.0","0","4.0","0","1.0","0","2.0","0"
"13","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1666667","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.1","2.0","0","4.0","0","1.0","0","2.0","0"
"14","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1696970","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09824561","2.0","0","4.0","0","1.0","0","2.0","0"
"15","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1711957","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09603659","2.0","0","4.0","0","1.0","0","2.0","0"
"16","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1715686","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09358289","2.0","0","4.0","0","1.0","0","2.0","0"
"17","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1711111","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.09101655","2.0","0","4.0","0","1.0","0","2.0","0"
"18","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1700405","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.08842105","2.0","0","4.0","0","1.0","0","2.0","0"
"19","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1685185","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.08584906","2.0","0","4.0","0","1.0","0","2.0","0"
"20","0.2393162","0.5128205","0.18055555555555555","1.4444444444444444","1.0","0","2.0","0.1666667","2.0","0","1.0","0","1.0","0","0.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","3.0","0.08333333","2.0","0","4.0","0","1.0","0","2.0","0"
