"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"1","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"2","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"3","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"4","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"5","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"6","0.2913043","0.4565217","0.25555555555555554","2.3","2.0","0","3.0","0","3.0","0","4.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","7.0","0","0.0","0","4.0","0","0.0","","0.0"
"7","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.05833333","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.01535088","0.0","0","4.0","0","1.0","0","2.0","0"
"8","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.09722222","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.02393162","0.0","0","4.0","0","1.0","0","2.0","0"
"9","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1235294","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.02876712","0.0","0","4.0","0","1.0","0","2.0","0"
"10","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1414141","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03142536","0.0","0","4.0","0","1.0","0","2.0","0"
"11","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1535088","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03277154","0.0","0","4.0","0","1.0","0","2.0","0"
"12","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1615385","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03330690","0.0","0","4.0","0","1.0","0","2.0","0"
"13","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03333333","0.0","0","4.0","0","1.0","0","2.0","0"
"14","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1696970","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03303835","0.0","0","4.0","0","1.0","0","2.0","0"
"15","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1711957","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03254132","0.0","0","4.0","0","1.0","0","2.0","0"
"16","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1715686","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03191974","0.0","0","4.0","0","1.0","0","2.0","0"
"17","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1711111","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03122466","0.0","0","4.0","0","1.0","0","2.0","0"
"18","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1700405","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.03049002","0.0","0","4.0","0","1.0","0","2.0","0"
"19","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1685185","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.02973856","0.0","0","4.0","0","1.0","0","2.0","0"
"20","0.3106061","0.4621212","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","3.0","0","2.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","8.0","0.02898551","0.0","0","4.0","0","1.0","0","2.0","0"
