"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"1","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"2","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"3","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"4","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"5","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"6","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"7","0.3472222","0.3888889","0.2222222222222222","1.7777777777777777","2.0","0","1.0","0","1.0","0","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","4.0","0","0.0","0","4.0","0"
"8","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.1111111","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.02539683","0.0","0","4.0","0"
"9","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.2","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.04210526","0.0","0","4.0","0"
"10","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.2727273","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.05321508","0.0","0","4.0","0"
