"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2619048","0.5","0.21212121212121213","2.3333333333333335","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.2619048","0.5","0.21212121212121213","2.3333333333333335","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.2619048","0.5","0.21212121212121213","2.3333333333333335","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.2619048","0.5","0.21212121212121213","2.3333333333333335","2.0","0","5.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.06956522","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.01739130","0.0","0","5.0","0","1.0","0","2.0","0"
"5","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1025641","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02380952","0.0","0","5.0","0","1.0","0","2.0","0"
"6","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1182266","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02597403","0.0","0","5.0","0","1.0","0","2.0","0"
"7","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.125","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02631579","0.0","0","5.0","0","1.0","0","2.0","0"
"8","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1269841","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02583979","0.0","0","5.0","0","1.0","0","2.0","0"
"9","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1263158","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.025","0.0","0","5.0","0","1.0","0","2.0","0"
"10","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1241685","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02401372","0.0","0","5.0","0","1.0","0","2.0","0"
"11","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1212121","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02298851","0.0","0","5.0","0","1.0","0","2.0","0"
"12","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1178396","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02197802","0.0","0","5.0","0","1.0","0","2.0","0"
"13","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1142857","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02100840","0.0","0","5.0","0","1.0","0","2.0","0"
"14","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1106918","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.02009132","0.0","0","5.0","0","1.0","0","2.0","0"
"15","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1071429","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.01923077","0.0","0","5.0","0","1.0","0","2.0","0"
"16","0.2811671","0.4933687","0.1858974358974359","2.230769230769231","2.0","0","3.0","0.1036889","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","1.0","0","10.0","0.01842665","0.0","0","5.0","0","1.0","0","2.0","0"
