"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2352941","0.5228758","0.2361111111111111","1.8888888888888888","2.0","0","1.0","0","1.0","0","6.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0","3.0","0","4.0","0","0.0","","0.0"
"1","0.2352941","0.5228758","0.2361111111111111","1.8888888888888888","2.0","0","1.0","0","1.0","0","6.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0","3.0","0","4.0","0","0.0","","0.0"
"2","0.2352941","0.5228758","0.2361111111111111","1.8888888888888888","2.0","0","1.0","0","1.0","0","6.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0","3.0","0","4.0","0","0.0","","0.0"
"3","0.2352941","0.5228758","0.2361111111111111","1.8888888888888888","2.0","0","1.0","0","1.0","0","6.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0","3.0","0","4.0","0","0.0","","0.0"
"4","0.2352941","0.5228758","0.2361111111111111","1.8888888888888888","2.0","0","1.0","0","1.0","0","6.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","3.0","0","3.0","0","4.0","0","0.0","","0.0"
"5","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.07575758","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.04385965","3.0","0","4.0","0","1.0","0","3.0","0"
"6","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1190476","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06211180","3.0","0","4.0","0","1.0","0","3.0","0"
"7","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1442308","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06944444","3.0","0","4.0","0","1.0","0","3.0","0"
"8","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1587302","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.07168459","3.0","0","4.0","0","1.0","0","3.0","0"
"9","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1666667","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.07142857","3.0","0","4.0","0","1.0","0","3.0","0"
