"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"1","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","6.0","4.0","24.0","0.5454545454545454","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","6.0","4.0","24.0","0.5454545454545454","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","6.0","4.0","24.0","0.5454545454545454","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"4","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","6.0","4.0","24.0","0.5454545454545454","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","6.0","4.0","24.0","0.5454545454545454","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"6","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","2.0","4.0","0.18181818181818182","0.18181818181818182","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","2.0","0.0","0.0","0.18181818181818182","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","6.0","4.0","24.0","0.5454545454545454","0.36363636363636365","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"7","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","4.0","0.0","0.0","0.3076923076923077","0.0","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","6.0","5.0","30.0","0.46153846153846156","0.38461538461538464","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"8","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","4.0","0.0","0.0","0.3076923076923077","0.0","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","6.0","5.0","30.0","0.46153846153846156","0.38461538461538464","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"9","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","2.0","2.0","4.0","0.15384615384615385","0.15384615384615385","4.0","0.0","0.0","0.3076923076923077","0.0","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","6.0","5.0","30.0","0.46153846153846156","0.38461538461538464","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"10","7.0","1.0","7.0","0.5","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","2.0","2.0","4.0","0.14285714285714285","0.14285714285714285","4.0","0.0","0.0","0.2857142857142857","0.0","1.0","7.0","7.0","0.07142857142857142","0.5","6.0","5.0","30.0","0.42857142857142855","0.35714285714285715","1.0","7.0","7.0","0.07142857142857142","0.5","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
