"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3083004","0.5375494","0.20909090909090908","2.090909090909091","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.3083004","0.5375494","0.20909090909090908","2.090909090909091","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.3083004","0.5375494","0.20909090909090908","2.090909090909091","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.3083004","0.5375494","0.20909090909090908","2.090909090909091","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.3083004","0.5375494","0.20909090909090908","2.090909090909091","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.04901961","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.01700680","0.0","0","5.0","0","1.0","0","1.0","0"
"6","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.07518797","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02463054","0.0","0","5.0","0","1.0","0","1.0","0"
"7","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.08928571","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02798507","0.0","0","5.0","0","1.0","0","1.0","0"
"8","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.09661836","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02923977","0.0","0","5.0","0","1.0","0","1.0","0"
"9","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.1","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02941176","0.0","0","5.0","0","1.0","0","1.0","0"
"10","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.1010101","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02901354","0.0","0","5.0","0","1.0","0","1.0","0"
"11","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.1005747","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02831715","0.0","0","5.0","0","1.0","0","1.0","0"
"12","0.3194444","0.5416667","0.18181818181818182","2.0","2.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0.09925558","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02747253","0.0","0","5.0","0","1.0","0","1.0","0"
