"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"0","0.4027778","0.3611111","0.2222222222222222","1.7777777777777777","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0"
"1","0.4027778","0.3611111","0.2222222222222222","1.7777777777777777","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0"
"2","0.4027778","0.3611111","0.2222222222222222","1.7777777777777777","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0"
"3","0.4027778","0.3611111","0.2222222222222222","1.7777777777777777","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0"
"4","0.4027778","0.3611111","0.2222222222222222","1.7777777777777777","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0"
"5","0.4027778","0.3611111","0.2222222222222222","1.7777777777777777","4.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","5.0","0"
"6","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.1428571","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.02521008"
"7","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.25","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.03947368"
"8","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.3333333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.04761905"
"9","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.4","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05217391"
"10","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.4545455","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05454545"
"11","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.5","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05555556"
"12","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.5384615","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05570292"
"13","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.5714286","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05529954"
"14","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.6","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05454545"
"15","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.625","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05357143"
"16","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.6470588","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05246423"
"17","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.6666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05128205"
"18","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.6842105","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.05006418"
"19","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.7","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.04883721"
"20","0.4740741","0.3259259","0.20833333333333334","1.6666666666666667","4.0","0","1.0","0","0.0","0.7142857","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","1.0","0","3.0","0","0.0","0","0.0","0","2.0","0","4.0","0","4.0","0.04761905"
