"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS"
"1","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"2","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"3","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"4","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"5","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"6","2.0","3.0","6.0","0.2222222222222222","0.3333333333333333","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","2.0","2.0","0.1111111111111111","0.2222222222222222","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"7","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"8","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"9","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"10","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"11","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"12","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"13","3.0","2.0","6.0","0.375","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","2.0","2.0","0.125","0.25","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.25","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"15","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"16","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"17","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.25","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.25","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.25","0.25","2.0","1.0","2.0","0.25","0.125","3.0","1.0","3.0","0.375","0.125","2.0","1.0","2.0","0.25","0.125","1.0","1.0","1.0","0.125","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","0.0","3.0","0.0","0.0","0.375","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","2.0","1.0","2.0","0.2222222222222222","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","0.0","3.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.1111111111111111","0.1111111111111111"
