"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3636364","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"1","0.3636364","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"2","0.3636364","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"3","0.3636364","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"4","0.3636364","0.4848485","0.21818181818181817","2.1818181818181817","2.0","0","3.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","8.0","0","0.0","0","5.0","0","0.0","","0.0"
"5","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.04901961","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.01700680","0.0","0","6.0","0.02688172","2.0","0","1.0","0"
"6","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.07518797","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02463054","0.0","0","6.0","0.03861004","2.0","0","1.0","0"
"7","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.08928571","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02798507","0.0","0","6.0","0.04360465","2.0","0","1.0","0"
"8","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.09661836","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02923977","0.0","0","6.0","0.04535147","2.0","0","1.0","0"
"9","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.1","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02941176","0.0","0","6.0","0.04545455","2.0","0","1.0","0"
"10","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.1010101","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02901354","0.0","0","6.0","0.04470939","2.0","0","1.0","0"
"11","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.1005747","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02831715","0.0","0","6.0","0.04353234","2.0","0","1.0","0"
"12","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.09925558","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02747253","0.0","0","6.0","0.04214963","2.0","0","1.0","0"
"13","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.09740260","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02656434","0.0","0","6.0","0.04068716","2.0","0","1.0","0"
"14","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.09523810","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02564103","0.0","0","6.0","0.03921569","2.0","0","1.0","0"
"15","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.09290541","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02473022","0.0","0","6.0","0.03777473","2.0","0","1.0","0"
"16","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.09049774","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02384738","0.0","0","6.0","0.03638569","2.0","0","1.0","0"
"17","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.08807588","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02300071","0.0","0","6.0","0.03505933","2.0","0","1.0","0"
"18","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.08567931","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02219404","0.0","0","6.0","0.03380010","2.0","0","1.0","0"
"19","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.08333333","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02142857","0.0","0","6.0","0.03260870","2.0","0","1.0","0"
"20","0.3461538","0.5","0.19696969696969696","2.1666666666666665","2.0","0","2.0","0.08105370","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","6.0","0","1.0","0","2.0","0","0.0","0","1.0","0","9.0","0.02070393","0.0","0","6.0","0.03148367","2.0","0","1.0","0"
