"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.3071429","0.5071429","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","7.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"1","0.3071429","0.5071429","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","7.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"2","0.3071429","0.5071429","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","7.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"3","0.3071429","0.5071429","0.21978021978021978","2.857142857142857","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","4.0","0","7.0","0","7.0","0","1.0","0","5.0","0","1.0","0","11.0","0","0.0","","0.0"
"4","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.08888889","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03809524","7.0","0","7.0","0","1.0","0","6.0","0.03076923","1.0","0","11.0","0","2.0","0","2.0","0"
"5","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1333333","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05128205","7.0","0","7.0","0","1.0","0","6.0","0.04166667","1.0","0","11.0","0","2.0","0","2.0","0"
"6","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1558442","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05529954","7.0","0","7.0","0","1.0","0","6.0","0.04511278","1.0","0","11.0","0","2.0","0","2.0","0"
"7","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1666667","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05555556","7.0","0","7.0","0","1.0","0","6.0","0.04545455","1.0","0","11.0","0","2.0","0","2.0","0"
"8","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1709402","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05420054","7.0","0","7.0","0","1.0","0","6.0","0.04444444","1.0","0","11.0","0","2.0","0","2.0","0"
"9","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1714286","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05217391","7.0","0","7.0","0","1.0","0","6.0","0.04285714","1.0","0","11.0","0","2.0","0","2.0","0"
"10","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1696970","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04991087","7.0","0","7.0","0","1.0","0","6.0","0.04105572","1.0","0","11.0","0","2.0","0","2.0","0"
"11","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1666667","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","7.0","0","7.0","0","1.0","0","6.0","0.03921569","1.0","0","11.0","0","2.0","0","2.0","0"
"12","0.3015873","0.5079365","0.2","2.8","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1628959","4.0","0","1.0","0","2.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04539723","7.0","0","7.0","0","1.0","0","6.0","0.03742204","1.0","0","11.0","0","2.0","0","2.0","0"
