"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1704545","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.02351097","0.0","0","5.0","0","1.0","0","4.0","0"
"11","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1715686","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.02296588","0.0","0","5.0","0","1.0","0","4.0","0"
"12","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1709402","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.02229654","0.0","0","5.0","0","1.0","0","4.0","0"
"13","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1691729","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.02157239","0.0","0","5.0","0","1.0","0","4.0","0"
"14","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1666667","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.02083333","0.0","0","5.0","0","1.0","0","4.0","0"
"15","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1636905","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.02010234","0.0","0","5.0","0","1.0","0","4.0","0"
"16","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1604278","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01939237","0.0","0","5.0","0","1.0","0","4.0","0"
"17","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1570048","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01871042","0.0","0","5.0","0","1.0","0","4.0","0"
"18","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1535088","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01805986","0.0","0","5.0","0","1.0","0","4.0","0"
"19","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.15","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01744186","0.0","0","5.0","0","1.0","0","4.0","0"
"20","0.2316017","0.5735931","0.1813186813186813","2.357142857142857","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","4.0","0.1465201","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01685630","0.0","0","5.0","0","1.0","0","4.0","0"
