"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2529915","0.5982906","0.18571428571428572","2.6","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","12.0","0","0.0","0","6.0","0","0.0","","0.0"
"1","0.2529915","0.5982906","0.18571428571428572","2.6","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","12.0","0","0.0","0","6.0","0","0.0","","0.0"
"2","0.2529915","0.5982906","0.18571428571428572","2.6","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","12.0","0","0.0","0","6.0","0","0.0","","0.0"
"3","0.2529915","0.5982906","0.18571428571428572","2.6","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","12.0","0","0.0","0","6.0","0","0.0","","0.0"
"4","0.2529915","0.5982906","0.18571428571428572","2.6","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","11.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","12.0","0","0.0","0","6.0","0","0.0","","0.0"
"5","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.06830601","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01141553","0.0","0","7.0","0.02252252","2.0","0","5.0","0"
"6","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1066098","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01661130","0.0","0","7.0","0.03246753","2.0","0","5.0","0"
"7","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1284247","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01893939","0.0","0","7.0","0.03676471","2.0","0","5.0","0"
"8","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1406470","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01984127","0.0","0","7.0","0.03831418","2.0","0","5.0","0"
"9","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1470588","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.02","0.0","0","7.0","0.03846154","2.0","0","5.0","0"
