"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS"
"0","0.3634085","0.5666293","0.11052631578947368","2.1","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0"
"1","0.3634085","0.5666293","0.11052631578947368","2.1","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0"
"2","0.3634085","0.5666293","0.11052631578947368","2.1","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0"
"3","0.3634085","0.5666293","0.11052631578947368","2.1","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0"
"4","0.3634085","0.5666293","0.11052631578947368","2.1","2.0","0","6.0","0","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","17.0","0"
"5","0.3906433","0.5520468","0.13157894736842105","2.3684210526315788","5.0","0.1666667","5.0","0.02380952","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.008250825"
"6","0.3906433","0.5520468","0.13157894736842105","2.3684210526315788","5.0","0.2142857","5.0","0.03571429","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01221001"
"7","0.3906433","0.5520468","0.13157894736842105","2.3684210526315788","5.0","0.225","5.0","0.04166667","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01409774"
"8","0.3906433","0.5520468","0.13157894736842105","2.3684210526315788","5.0","0.2222222","5.0","0.04444444","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01491424"
"9","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.2212121","5.0","0.04545455","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.04736842","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.04736842","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01515152"
