"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"0","0.3385417","0.6229675","0.13333333333333333","3.2","9.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","5.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","22.0","0","1.0","0","23.0","0"
"1","0.3385417","0.6229675","0.13333333333333333","3.2","9.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","5.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","22.0","0","1.0","0","23.0","0"
"2","0.3385417","0.6229675","0.13333333333333333","3.2","9.0","0","8.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","5.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","22.0","0","1.0","0","23.0","0"
"3","0.3247863","0.6175214","0.14130434782608695","3.25","7.0","0.04411765","7.0","0.02419355","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","5.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.008620690","1.0","0","22.0","0.008241758"
"4","0.3247863","0.6175214","0.14130434782608695","3.25","7.0","0.05853659","7.0","0.03157895","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","5.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.01111111","1.0","0","22.0","0.01061947"
"5","0.3114035","0.6195175","0.13768115942028986","3.1666666666666665","5.0","0.1014493","7.0","0.03333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.02873563","2.0","0","1.0","0.07575758","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.01162791","1.0","0","22.0","0.01111111"
"6","0.3114035","0.6195175","0.13768115942028986","3.1666666666666665","5.0","0.1232493","7.0","0.03296703","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04329004","2.0","0","1.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.01142857","1.0","0","22.0","0.01091902"
"7","0.3114035","0.6195175","0.13768115942028986","3.1666666666666665","5.0","0.1339286","7.0","0.03177966","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05067568","2.0","0","1.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.01096491","1.0","0","22.0","0.01047486"
"8","0.3114035","0.6195175","0.13768115942028986","3.1666666666666665","5.0","0.1384335","7.0","0.03030303","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05420054","2.0","0","1.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.01041667","1.0","0","22.0","0.009950249"
"9","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.171875","7.0","0.02876712","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05555556","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1615385","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.04736842","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.04736842","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.009859155","1.0","0","22.0","0.009417040"
