"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1386749","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04470939","4.0","0","3.0","0","0.0","0","6.0","0.04470939","2.0","0","3.0","0"
"11","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1388889","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04353234","4.0","0","3.0","0","0.0","0","6.0","0.04353234","2.0","0","3.0","0"
"12","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1377727","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04214963","4.0","0","3.0","0","0.0","0","6.0","0.04214963","2.0","0","3.0","0"
"13","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1358149","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.04068716","4.0","0","3.0","0","0.0","0","6.0","0.04068716","2.0","0","3.0","0"
"14","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03921569","4.0","0","3.0","0","0.0","0","6.0","0.03921569","2.0","0","3.0","0"
"15","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1305380","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03777473","4.0","0","3.0","0","0.0","0","6.0","0.03777473","2.0","0","3.0","0"
"16","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1275691","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03638569","4.0","0","3.0","0","0.0","0","6.0","0.03638569","2.0","0","3.0","0"
"17","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1245211","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03505933","4.0","0","3.0","0","0.0","0","6.0","0.03505933","2.0","0","3.0","0"
"18","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1214575","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03380010","4.0","0","3.0","0","0.0","0","6.0","0.03380010","2.0","0","3.0","0"
"19","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1184211","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03260870","4.0","0","3.0","0","0.0","0","6.0","0.03260870","2.0","0","3.0","0"
"20","0.2559524","0.4404762","0.21212121212121213","2.3333333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1154401","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","1.0","0","6.0","0.03148367","4.0","0","3.0","0","0.0","0","6.0","0.03148367","2.0","0","3.0","0"
