"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","BA6-ADS","BA6-AIS","BA6-ACS","BA6-RCS","BA6-RIS","BA7-ADS","BA7-AIS","BA7-ACS","BA7-RCS","BA7-RIS","BA8-ADS","BA8-AIS","BA8-ACS","BA8-RCS","BA8-RIS","BA9-ADS","BA9-AIS","BA9-ACS","BA9-RCS","BA9-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","3.0","1.0","3.0","0.1875","0.0625","2.0","6.0","12.0","0.125","0.375","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","9.0","0.0","0.0","0.5625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","3.0","1.0","3.0","0.1875","0.0625","2.0","6.0","12.0","0.125","0.375","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","9.0","0.0","0.0","0.5625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","1.0","3.0","0.1875","0.0625","2.0","6.0","12.0","0.125","0.375","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","9.0","0.0","0.0","0.5625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","1.0","3.0","0.1875","0.0625","2.0","6.0","12.0","0.125","0.375","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","9.0","0.0","0.0","0.5625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","1.0","3.0","0.1875","0.0625","2.0","6.0","12.0","0.125","0.375","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","9.0","0.0","0.0","0.5625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","1.0","3.0","0.1875","0.0625","2.0","6.0","12.0","0.125","0.375","5.0","1.0","5.0","0.3125","0.0625","5.0","1.0","5.0","0.3125","0.0625","3.0","2.0","6.0","0.1875","0.125","4.0","1.0","4.0","0.25","0.0625","4.0","1.0","4.0","0.25","0.0625","3.0","1.0","3.0","0.1875","0.0625","3.0","2.0","6.0","0.1875","0.125","9.0","0.0","0.0","0.5625","0.0","1.0","13.0","13.0","0.0625","0.8125","1.0","7.0","7.0","0.0625","0.4375","1.0","14.0","14.0","0.0625","0.875","4.0","1.0","4.0","0.25","0.0625","2.0","1.0","2.0","0.125","0.0625","3.0","1.0","3.0","0.1875","0.0625","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","6.0","12.0","0.1111111111111111","0.3333333333333333","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","6.0","1.0","6.0","0.3333333333333333","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","10.0","0.0","0.0","0.5555555555555556","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","8.0","8.0","0.05555555555555555","0.4444444444444444","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","6.0","12.0","0.1111111111111111","0.3333333333333333","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","6.0","1.0","6.0","0.3333333333333333","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","10.0","0.0","0.0","0.5555555555555556","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","8.0","8.0","0.05555555555555555","0.4444444444444444","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","2.0","6.0","12.0","0.1111111111111111","0.3333333333333333","5.0","1.0","5.0","0.2777777777777778","0.05555555555555555","6.0","1.0","6.0","0.3333333333333333","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","10.0","0.0","0.0","0.5555555555555556","0.0","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","1.0","8.0","8.0","0.05555555555555555","0.4444444444444444","1.0","15.0","15.0","0.05555555555555555","0.8333333333333334","4.0","1.0","4.0","0.2222222222222222","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","2.0","6.0","0.16666666666666666","0.1111111111111111","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","1.0","3.0","0.15","0.05","2.0","6.0","12.0","0.1","0.3","5.0","1.0","5.0","0.25","0.05","6.0","1.0","6.0","0.3","0.05","3.0","2.0","6.0","0.15","0.1","4.0","1.0","4.0","0.2","0.05","4.0","1.0","4.0","0.2","0.05","3.0","1.0","3.0","0.15","0.05","3.0","2.0","6.0","0.15","0.1","11.0","0.0","0.0","0.55","0.0","1.0","17.0","17.0","0.05","0.85","1.0","10.0","10.0","0.05","0.5","1.0","16.0","16.0","0.05","0.8","4.0","1.0","4.0","0.2","0.05","2.0","1.0","2.0","0.1","0.05","4.0","2.0","8.0","0.2","0.1","2.0","2.0","4.0","0.1","0.1","3.0","1.0","3.0","0.15","0.05","2.0","1.0","2.0","0.1","0.05","4.0","1.0","4.0","0.2","0.05","0.0","0.0","0.0","0.0","0.0"
"21","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","6.0","12.0","0.09523809523809523","0.2857142857142857","5.0","1.0","5.0","0.23809523809523808","0.047619047619047616","6.0","1.0","6.0","0.2857142857142857","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","11.0","0.0","0.0","0.5238095238095238","0.0","1.0","18.0","18.0","0.047619047619047616","0.8571428571428571","1.0","11.0","11.0","0.047619047619047616","0.5238095238095238","1.0","17.0","17.0","0.047619047619047616","0.8095238095238095","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","4.0","2.0","8.0","0.19047619047619047","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","4.0","1.0","4.0","0.19047619047619047","0.047619047619047616","3.0","1.0","3.0","0.14285714285714285","0.047619047619047616"
