"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2466063","0.6108597","0.19117647058823528","3.0588235294117645","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","12.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","5.0","0","7.0","0","10.0","0","1.0","0","14.0","0","0.0","","0.0"
"1","0.2466063","0.6108597","0.19117647058823528","3.0588235294117645","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","12.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","5.0","0","7.0","0","10.0","0","1.0","0","14.0","0","0.0","","0.0"
"2","0.2466063","0.6108597","0.19117647058823528","3.0588235294117645","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","12.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","5.0","0","7.0","0","10.0","0","1.0","0","14.0","0","0.0","","0.0"
"3","0.2466063","0.6108597","0.19117647058823528","3.0588235294117645","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","12.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","5.0","0","7.0","0","10.0","0","1.0","0","14.0","0","0.0","","0.0"
"4","0.2466063","0.6108597","0.19117647058823528","3.0588235294117645","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","12.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","5.0","0","7.0","0","10.0","0","1.0","0","14.0","0","0.0","","0.0"
"5","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.07575758","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.02688172","7.0","0","10.0","0","1.0","0","15.0","0.009803922","2.0","0","6.0","0"
"6","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1190476","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03861004","7.0","0","10.0","0","1.0","0","15.0","0.01428571","2.0","0","6.0","0"
"7","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1442308","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04360465","7.0","0","10.0","0","1.0","0","15.0","0.01630435","2.0","0","6.0","0"
"8","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1587302","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04535147","7.0","0","10.0","0","1.0","0","15.0","0.01709402","2.0","0","6.0","0"
"9","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1666667","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04545455","7.0","0","10.0","0","1.0","0","15.0","0.01724138","2.0","0","6.0","0"
