"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2479214","0.6953893","0.15","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","8.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","7.0","0","9.0","0","1.0","0","8.0","0","1.0","0","18.0","0","0.0","","0.0"
"1","0.2479214","0.6953893","0.15","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","8.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","7.0","0","9.0","0","1.0","0","8.0","0","1.0","0","18.0","0","0.0","","0.0"
"2","0.2479214","0.6953893","0.15","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","8.0","0","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","10.0","0","7.0","0","9.0","0","1.0","0","8.0","0","1.0","0","18.0","0","0.0","","0.0"
"3","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1071429","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01829268","7.0","0","9.0","0","1.0","0","9.0","0.02272727","1.0","0","19.0","0.01027397","3.0","0","4.0","0"
"4","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.15","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02307692","7.0","0","9.0","0","1.0","0","9.0","0.02857143","1.0","0","19.0","0.01304348","3.0","0","4.0","0"
"5","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1666667","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02380952","7.0","0","9.0","0","1.0","0","9.0","0.02941176","1.0","0","19.0","0.01351351","3.0","0","4.0","0"
"6","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1714286","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02316602","7.0","0","9.0","0","1.0","0","9.0","0.02857143","1.0","0","19.0","0.01318681","3.0","0","4.0","0"
"7","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1704545","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02205882","7.0","0","9.0","0","1.0","0","9.0","0.02717391","1.0","0","19.0","0.01258389","3.0","0","4.0","0"
"8","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1666667","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.02083333","7.0","0","9.0","0","1.0","0","9.0","0.02564103","1.0","0","19.0","0.01190476","3.0","0","4.0","0"
"9","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1615385","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01962617","7.0","0","9.0","0","1.0","0","9.0","0.02413793","1.0","0","19.0","0.01122995","3.0","0","4.0","0"
"10","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1558442","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01848998","7.0","0","9.0","0","1.0","0","9.0","0.02272727","1.0","0","19.0","0.01059135","3.0","0","4.0","0"
