"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2333333","0.5848485","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","9.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","4.0","0","4.0","0","1.0","0","12.0","0","0.0","","0.0"
"1","0.2333333","0.5848485","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","9.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","4.0","0","4.0","0","1.0","0","12.0","0","0.0","","0.0"
"2","0.2333333","0.5848485","0.20952380952380953","2.933333333333333","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","9.0","0","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","9.0","0","4.0","0","4.0","0","1.0","0","12.0","0","0.0","","0.0"
"3","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.09375","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02027027","4.0","0","4.0","0","1.0","0","13.0","0.01530612","2.0","0","4.0","0"
"4","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1297297","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02553191","4.0","0","4.0","0","1.0","0","13.0","0.01935484","2.0","0","4.0","0"
"5","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1428571","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02631579","4.0","0","4.0","0","1.0","0","13.0","0.02","2.0","0","4.0","0"
"6","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1458967","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02558635","4.0","0","4.0","0","1.0","0","13.0","0.01948052","2.0","0","4.0","0"
"7","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1442308","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02435065","4.0","0","4.0","0","1.0","0","13.0","0.01856436","2.0","0","4.0","0"
"8","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1403509","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02298851","4.0","0","4.0","0","1.0","0","13.0","0.01754386","2.0","0","4.0","0"
"9","0.2364130","0.5733696","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","5.0","0.1354839","3.0","0","2.0","0","2.0","0","1.0","0","5.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02164948","4.0","0","4.0","0","1.0","0","13.0","0.01653543","2.0","0","4.0","0"
