"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2194357","0.6520376","0.2636363636363636","2.6363636363636362","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"1","0.2194357","0.6520376","0.2636363636363636","2.6363636363636362","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"2","0.2194357","0.6520376","0.2636363636363636","2.6363636363636362","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"3","0.2194357","0.6520376","0.2636363636363636","2.6363636363636362","2.0","0","7.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","9.0","0","1.0","0","9.0","0","0.0","","0.0"
"4","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.075","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.01739130","1.0","0","10.0","0.01739130","2.0","0","3.0","0"
"5","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1111111","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02380952","1.0","0","10.0","0.02380952","2.0","0","3.0","0"
"6","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1285714","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02597403","1.0","0","10.0","0.02597403","2.0","0","3.0","0"
"7","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1363636","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02631579","1.0","0","10.0","0.02631579","2.0","0","3.0","0"
"8","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1388889","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02583979","1.0","0","10.0","0.02583979","2.0","0","3.0","0"
"9","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1384615","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.025","1.0","0","10.0","0.025","2.0","0","3.0","0"
"10","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1363636","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02401372","1.0","0","10.0","0.02401372","2.0","0","3.0","0"
"11","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02298851","1.0","0","10.0","0.02298851","2.0","0","3.0","0"
"12","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1298077","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02197802","1.0","0","10.0","0.02197802","2.0","0","3.0","0"
"13","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1260504","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02100840","1.0","0","10.0","0.02100840","2.0","0","3.0","0"
"14","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1222222","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02009132","1.0","0","10.0","0.02009132","2.0","0","3.0","0"
"15","0.2231183","0.6532258","0.23484848484848486","2.5833333333333335","2.0","0","4.0","0.1184211","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.01923077","1.0","0","10.0","0.01923077","2.0","0","3.0","0"
