"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.244","0.452","0.2777777777777778","2.5","4.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"1","0.244","0.452","0.2777777777777778","2.5","4.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"2","0.244","0.452","0.2777777777777778","2.5","4.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"3","0.244","0.452","0.2777777777777778","2.5","4.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"4","0.244","0.452","0.2777777777777778","2.5","4.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"5","0.244","0.452","0.2777777777777778","2.5","4.0","0","1.0","0","2.0","0","3.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","5.0","0","3.0","0","2.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","","0.0"
"6","0.2424242","0.4713805","0.24545454545454545","2.4545454545454546","4.0","0","1.0","0","2.0","0","2.0","0.04285714","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.02380952","3.0","0","2.0","0","1.0","0","5.0","0.02955665","1.0","0","7.0","0","2.0","0","1.0","0"
"7","0.2424242","0.4713805","0.24545454545454545","2.4545454545454546","4.0","0","1.0","0","2.0","0","2.0","0.06818182","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03571429","3.0","0","2.0","0","1.0","0","5.0","0.04411765","1.0","0","7.0","0","2.0","0","1.0","0"
"8","0.2424242","0.4713805","0.24545454545454545","2.4545454545454546","4.0","0","1.0","0","2.0","0","2.0","0.08333333","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04166667","3.0","0","2.0","0","1.0","0","5.0","0.05128205","1.0","0","7.0","0","2.0","0","1.0","0"
"9","0.2424242","0.4713805","0.24545454545454545","2.4545454545454546","4.0","0","1.0","0","2.0","0","2.0","0.09230769","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04444444","3.0","0","2.0","0","1.0","0","5.0","0.05454545","1.0","0","7.0","0","2.0","0","1.0","0"
"10","0.2424242","0.4713805","0.24545454545454545","2.4545454545454546","4.0","0","1.0","0","2.0","0","2.0","0.09740260","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04545455","3.0","0","2.0","0","1.0","0","5.0","0.05565863","1.0","0","7.0","0","2.0","0","1.0","0"
"11","0.2424242","0.4713805","0.24545454545454545","2.4545454545454546","4.0","0","1.0","0","2.0","0","2.0","0.1","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04545455","3.0","0","2.0","0","1.0","0","5.0","0.05555556","1.0","0","7.0","0","2.0","0","1.0","0"
