"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"0","0.3836317","0.5406758","0.1503267973856209","2.5555555555555554","6.0","0","6.0","0","3.0","0","4.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"1","0.3836317","0.5406758","0.1503267973856209","2.5555555555555554","6.0","0","6.0","0","3.0","0","4.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"2","0.3836317","0.5406758","0.1503267973856209","2.5555555555555554","6.0","0","6.0","0","3.0","0","4.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"3","0.3836317","0.5406758","0.1503267973856209","2.5555555555555554","6.0","0","6.0","0","3.0","0","4.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"4","0.3836317","0.5406758","0.1503267973856209","2.5555555555555554","6.0","0","6.0","0","3.0","0","4.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"5","0.3636364","0.5464052","0.1437908496732026","2.4444444444444446","4.0","0.04901961","6.0","0","3.0","0","3.0","0.03623188","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.07575758","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"6","0.3636364","0.5464052","0.1437908496732026","2.4444444444444446","4.0","0.07518797","6.0","0","3.0","0","3.0","0.05494505","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"7","0.3636364","0.5464052","0.1437908496732026","2.4444444444444446","4.0","0.08928571","6.0","0","3.0","0","3.0","0.06465517","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1442308","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"8","0.3636364","0.5464052","0.1437908496732026","2.4444444444444446","4.0","0.09661836","6.0","0","3.0","0","3.0","0.06944444","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1587302","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"9","0.3636364","0.5464052","0.1437908496732026","2.4444444444444446","4.0","0.1","6.0","0","3.0","0","3.0","0.07142857","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","15.0","0","0.0","0","7.0","0"
"10","0.3557423","0.5378151","0.15441176470588236","2.4705882352941178","2.0","0.1398601","5.0","0.01398601","3.0","0","3.0","0.07177033","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0.04329004","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1704545","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.005543237","0.0","0","7.0","0"
"11","0.3557423","0.5378151","0.15441176470588236","2.4705882352941178","2.0","0.1697531","5.0","0.02380952","3.0","0","3.0","0.07113821","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0.07575758","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1715686","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.009363296","0.0","0","7.0","0"
"12","0.3557423","0.5378151","0.15441176470588236","2.4705882352941178","2.0","0.1923077","5.0","0.03076923","3.0","0","3.0","0.06993007","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1003344","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1709402","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01201923","0.0","0","7.0","0"
"13","0.3557423","0.5378151","0.15441176470588236","2.4705882352941178","2.0","0.2093596","5.0","0.03571429","3.0","0","3.0","0.06838906","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1190476","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1691729","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01386963","0.0","0","7.0","0"
"14","0.3557423","0.5378151","0.15441176470588236","2.4705882352941178","2.0","0.2222222","5.0","0.03921569","3.0","0","3.0","0.06666667","2.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","10.0","0","0.0","0","1.0","0","14.0","0.01515152","0.0","0","7.0","0"
