"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"1","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"2","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"3","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"4","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"5","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"6","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"7","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"8","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"9","1.0","2.0","2.0","0.058823529411764705","0.11764705882352941","1.0","11.0","11.0","0.058823529411764705","0.6470588235294118","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","3.0","1.0","3.0","0.17647058823529413","0.058823529411764705","1.0","1.0","1.0","0.058823529411764705","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","1.0","2.0","0.11764705882352941","0.058823529411764705","2.0","0.0","0.0","0.11764705882352941","0.0","0.0","7.0","0.0","0.0","0.4117647058823529","11.0","8.0","88.0","0.6470588235294118","0.47058823529411764","0.0","0.0","0.0","0.0","0.0"
"10","1.0","2.0","2.0","0.05555555555555555","0.1111111111111111","1.0","6.0","6.0","0.05555555555555555","0.3333333333333333","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","3.0","1.0","3.0","0.16666666666666666","0.05555555555555555","1.0","1.0","1.0","0.05555555555555555","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","1.0","2.0","0.1111111111111111","0.05555555555555555","2.0","0.0","0.0","0.1111111111111111","0.0","0.0","8.0","0.0","0.0","0.4444444444444444","11.0","8.0","88.0","0.6111111111111112","0.4444444444444444","1.0","5.0","5.0","0.05555555555555555","0.2777777777777778"
