"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"0","0.2878788","0.5","0.21818181818181817","2.1818181818181817","1.0","0","8.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","3.0","0","3.0","0","6.0","0","0.0","","0.0"
"1","0.2878788","0.5","0.21818181818181817","2.1818181818181817","1.0","0","8.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","3.0","0","3.0","0","6.0","0","0.0","","0.0"
"2","0.2878788","0.5","0.21818181818181817","2.1818181818181817","1.0","0","8.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","3.0","0","3.0","0","6.0","0","0.0","","0.0"
"3","0.2878788","0.5","0.21818181818181817","2.1818181818181817","1.0","0","8.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","3.0","0","3.0","0","6.0","0","0.0","","0.0"
"4","0.2878788","0.5","0.21818181818181817","2.1818181818181817","1.0","0","8.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","3.0","0","3.0","0","6.0","0","0.0","","0.0"
"5","0.2878788","0.5","0.21818181818181817","2.1818181818181817","1.0","0","8.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","3.0","0","3.0","0","6.0","0","0.0","","0.0"
"6","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.06593407","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.03896104","3.0","0","6.0","0","1.0","0","4.0","0"
"7","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1071429","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.05769231","3.0","0","6.0","0","1.0","0","4.0","0"
"8","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1333333","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.06666667","3.0","0","6.0","0","1.0","0","4.0","0"
"9","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.07058824","3.0","0","6.0","0","1.0","0","4.0","0"
"10","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1604278","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.07177033","3.0","0","6.0","0","1.0","0","4.0","0"
"11","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.07142857","3.0","0","6.0","0","1.0","0","4.0","0"
"12","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1700405","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.07023411","3.0","0","6.0","0","1.0","0","4.0","0"
"13","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.06857143","3.0","0","6.0","0","1.0","0","4.0","0"
"14","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.06666667","3.0","0","6.0","0","1.0","0","4.0","0"
"15","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1704545","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.06465517","3.0","0","6.0","0","1.0","0","4.0","0"
"16","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1687980","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.06261860","3.0","0","6.0","0","1.0","0","4.0","0"
"17","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.06060606","3.0","0","6.0","0","1.0","0","4.0","0"
"18","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1642105","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.05864662","3.0","0","6.0","0","1.0","0","4.0","0"
"19","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1615385","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.05675676","3.0","0","6.0","0","1.0","0","4.0","0"
"20","0.3033333","0.43","0.1893939393939394","2.0833333333333335","1.0","0","4.0","0.1587302","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","6.0","0","0.0","0","0.0","0","4.0","0.05494505","3.0","0","6.0","0","1.0","0","4.0","0"
